participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, Ter, st
1, Pure Guess, 119.1099, 7.5021, 0, 0, 0, 0, 0, 3.6449, 1.7542, 0, 0.16439, 8.6752e-07, 0
2, Pure Guess, 1502.096, 1.0288, 0, 0, 0, 0, 0, 1.4602, 0.98531, 0, 0.74094, 0.24307, 0
3, Pure Guess, 1180.462, 5.2272, 0, 0, 0, 0, 0, 2.3874, 1.1316, 0, 0.6581, 0.26154, 0
4, Pure Guess, 1191.6157, 3.186, 0, 0, 0, 0, 0, 1.646, 1.0797, 0, 0.54672, 0.19262, 0
5, Pure Guess, 1181.2914, 2.9434, 0, 0, 0, 0, 0, 1.6894, 1.0956, 0, 0.52915, 0.25384, 0
6, Pure Guess, 1426.0494, 1.1367, 0, 0, 0, 0, 0, 2.3406, 0.69678, 0, 0.0014237, 0.10858, 0
7, Pure Guess, 1265.4394, 4.343, 0, 0, 0, 0, 0, 1.5592, 1.0647, 0, 0.71843, 0.25821, 0
8, Pure Guess, 751.0471, 5.1206, 0, 0, 0, 0, 0, 1.7753, 1.1255, 0, 0.43385, 0.14782, 0
9, Pure Guess, 1499.1949, 3.5016, 0, 0, 0, 0, 0, 2.6761, 1.7184, 0, 0.49278, 0.11703, 0
10, Pure Guess, 1351.9361, 0.54391, 0, 0, 0, 0, 0, 1.0261, 1.0459, 0, 0.087832, 0.22047, 0
11, Pure Guess, 1154.6349, 3.953, 0, 0, 0, 0, 0, 2.0879, 1.3274, 0, 0.4645, 0.1243, 0
12, Pure Guess, 1363.3844, 0.62767, 0, 0, 0, 0, 0, 1.0242, 1.1306, 0, 0.081549, 0.25133, 0
13, Pure Guess, 1813.8339, 1.1177, 0, 0, 0, 0, 0, 1.6044, 1.4055, 0, 0.67341, 0.13631, 0
14, Pure Guess, 1210.5641, 0.017086, 0, 0, 0, 0, 0, 0.93648, 0.8729, 0, 0.29206, 0.25969, 0
15, Pure Guess, 1379.1299, 0.61757, 0, 0, 0, 0, 0, 4.0111, 1.125, 0, 0.98151, 0.06792, 0
16, Pure Guess, 1479.9558, 3.3644, 0, 0, 0, 0, 0, 2.1512, 1.478, 0, 0.56862, 0.053874, 0
17, Pure Guess, 862.5085, 4.9972, 0, 0, 0, 0, 0, 1.9774, 0.92648, 0, 0.5619, 0.26449, 0
18, Pure Guess, 1312.6569, 1.5736, 0, 0, 0, 0, 0, 2.5998, 2.2732, 0, 0.026707, 0.00014132, 0
19, Pure Guess, 1603.1804, 1.0557, 0, 0, 0, 0, 0, 1.2568, 2.0553, 0, 0.13559, 0.2685, 0
20, Pure Guess, 1820.0696, 0.76963, 0, 0, 0, 0, 0, 1.8059, 1.6677, 0, 0.10178, 0.29999, 0
21, Pure Guess, 1137.6917, 0.48565, 0, 0, 0, 0, 0, 0.84727, 1.0807, 0, 0.11468, 0.2661, 0
22, Pure Guess, 874.1229, 0.00010657, 0, 0, 0, 0, 0, 0.65694, 1.1617, 0, 0.096308, 0.25435, 0
23, Pure Guess, 2014.5127, 0.31611, 0, 0, 0, 0, 0, 1.6359, 2.5444, 0, 0.0008992, 0.12396, 0
24, Pure Guess, 1324.5656, 0.5672, 0, 0, 0, 0, 0, 1.0731, 1.448, 0, 3.1601e-05, 0.25557, 0
25, Pure Guess, 1685.5971, 0.68557, 0, 0, 0, 0, 0, 1.5121, 0.55697, 0, 1.5035e-05, 4.1386e-06, 0
26, Pure Guess, 1811.289, 1.2286, 0, 0, 0, 0, 0, 3.4999, 1.7341, 0, 0.1669, 1.2893e-05, 0
27, Pure Guess, 935.8157, 4.4895, 0, 0, 0, 0, 0, 1.7225, 0.99645, 0, 0.55317, 0.25817, 0
28, Pure Guess, 1231.4937, 0.37243, 0, 0, 0, 0, 0, 0.929, 1.0978, 0, 0.01417, 0.22959, 0
29, Pure Guess, 1513.3684, 0.26455, 0, 0, 0, 0, 0, 1.2601, 0.69032, 0, 1.0192e-05, 0.079836, 0
30, Pure Guess, 1290.2444, 0.25781, 0, 0, 0, 0, 0, 0.86572, 1.6481, 0, 0.06937, 0.28228, 0
31, Pure Guess, 152.9251, 6.9585, 0, 0, 0, 0, 0, 2.1148, 1.0842, 0, 0.27361, 0.18783, 0
32, Pure Guess, 1468.5719, 0.72807, 0, 0, 0, 0, 0, 1.2337, 0.86285, 0, 0.31238, 0.2426, 0
33, Pure Guess, 1859.9213, 0.64426, 0, 0, 0, 0, 0, 1.6052, 1.2975, 0, 0.20337, 0.10502, 0
34, Pure Guess, 1796.9551, 0.77553, 0, 0, 0, 0, 0, 1.8877, 0.69118, 0, 0.019699, 0.27979, 0
35, Pure Guess, 2154.7584, 0.39399, 0, 0, 0, 0, 0, 2.1533, 1.5391, 0, 6.0528e-05, 0.28432, 0
36, Pure Guess, 891.677, 1.1183, 0, 0, 0, 0, 0, 0.79949, 1.0675, 0, 0.094039, 0.26419, 0
