participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Orthographic, 237.2514, 5.0177, 0, 0.86264, 0, 0.18283, 0.79526, 2.6501, 1.6737, 0.119, 0.042353, 0.68034, 0.63171, 0.0054588, 0.26672, 0.64241, 0.45141, 0, 2.8859e-06, 0
2, Orthographic, 1550.8481, 1.0813, 0, 1.0288, 0, 0.5278, 0.16303, 1.0597, 1.4784, 0.19477, 0.15426, 0.90093, 1.1292, 0.23754, 0.43361, 0.91011, 0.4483, 0, 0.24045, 0
3, Orthographic, 1194.8975, 5.0003, 0, 3.1547, 0, 0.00045137, 0.89457, 2.3121, 1.1271, 0.2917, 0.57437, 0.77983, 0.64585, 0.24247, 0.058928, 0.47664, 0.58883, 0, 0.25824, 0
4, Orthographic, 1203.8092, 3.2554, 0, 0.46002, 0, 0.47262, 0.064073, 1.6286, 0.96308, 0.099785, 0.48074, 0.49898, 1.4843, 0.37303, 0.52499, 0.90097, 0.33169, 0, 0.21939, 0
5, Orthographic, 1201.1208, 3.0235, 0, 1.754, 0, 0.23285, 0.29657, 1.721, 1.0996, 0.07852, 0.50495, 0.90111, 1.2682, 1.2978, 0.55256, 0.59531, 0.28632, 0, 0.2516, 0
6, Orthographic, 1256.8453, 2.517, 0, 0.012232, 0, 0.23847, 0.41075, 3.6116, 2.7103, 2.4929e-06, 0.1472, 0.84571, 1.3982, 0.92125, 0.9886, 0.54744, 0.50915, 0, 0.1239, 0
7, Orthographic, 1283.4163, 1.0991, 0, 2.5199, 0, 0.1061, 0.3042, 0.92581, 1.5311, 0.20639, 0.13736, 0.72025, 1.488, 0.87028, 3.2222e-05, 0.71291, 0.51886, 0, 0.29998, 0
8, Orthographic, 769.2624, 4.9994, 0, 1.7389, 0, 0.32828, 0.209, 1.7458, 1.1144, 0.092658, 0.38365, 0.50096, 0.76256, 0.7442, 0.29883, 0.6134, 0.4175, 0, 0.14831, 0
9, Orthographic, 1515.7619, 3.6008, 0, 0.94425, 0, 0.283, 0.00078529, 2.7543, 1.6711, 0.11567, 0.44093, 0.63782, 0.30937, 0.91347, 0.22794, 0.53324, 0.53274, 0, 0.11758, 0
10, Orthographic, 1342.8516, 3.4057, 0, 1.8786, 0, 0.039601, 0.45629, 1.5109, 1.0939, 0.21993, 0.70723, 0.50125, 2.1505, 2.0367, 0.18845, 0.27875, 0.0001497, 0, 0.19053, 0
