participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st, iota
1, Orthographic, 216.553, 5.0187, 0, 0.054155, 0, 0.0043284, 0.022198, 2.6419, 1.839, 0.00014267, 0.1685, 0.36416, 0.031263, 0.037589, 0.81978, 0.17591, 0.00015951, 0, 1.1e-06, 0, 0.79995
2, Orthographic, 1517.8282, 1.8654, 0, 0.16276, 0, 0.062154, 0.031345, 1.4465, 0.88708, 0.072751, 0.58179, 0.46928, 1.083, 0.92696, 0.70508, 5.4209e-05, 0.21693, 0, 0.259, 0, 0.18179
3, Orthographic, 1202.939, 5.0009, 0, 0.14486, 0, 0.32997, 0.034081, 2.286, 1.1241, 3.2221e-05, 0.64823, 0.4032, 0.98751, 0.64914, 1.0174, 0.015115, 0.00018488, 0, 0.26648, 0, 0.4544
4, Orthographic, 1186.2868, 3.0859, 0, 0.13813, 0, 0.3078, 0.014517, 1.4234, 0.74856, 0.042393, 0.36064, 0.6129, 2.2307, 0.043218, 0.0020027, 0.48444, 0.053065, 0, 0.2601, 0, 1.0812
5, Orthographic, 1202.3511, 3.0455, 0, 0.08384, 0, 0.36274, 0.024346, 1.7375, 1.1007, 8.1879e-07, 0.51749, 0.30744, 0.80169, 0.74597, 0.44778, 0.38637, 0.099407, 0, 0.25163, 0, 0.50693
6, Orthographic, 1263.8764, 2.3369, 0, 0.20731, 0, 0.17584, 0.016897, 3.2329, 1.203, 0.04966, 0.0010183, 4.1073e-07, 2.2701, 0.0090592, 0.4577, 0.32934, 0.008815, 0, 0.16954, 0, 0.58081
7, Orthographic, 1261.9713, 4.5498, 0, 0.081103, 0, 0.47161, 0.01095, 1.5448, 0.87562, 0.04922, 0.59429, 0.42464, 2.7585, 0.0096554, 0.37558, 0.21368, 0.0012942, 0, 0.29277, 0, 0.14697
8, Orthographic, 762.561, 4.9993, 0, 0.091622, 0, 0.39118, 0.016157, 1.6699, 1.0264, 0.010622, 0.38031, 0.36009, 0.050615, 0.62215, 0.49608, 0.40083, 0.13361, 0, 0.16479, 0, 0.21307
9, Orthographic, 1521.5804, 3.4264, 0, 0.014891, 0, 0.058105, 0.021093, 2.6479, 1.7086, 0.0016272, 0.47702, 0.65112, 0.0085659, 0.66528, 0.00012288, 0.23222, 0.08303, 0, 0.11662, 0, 1.485
10, Orthographic, 1345.6454, 3.0367, 0, 0.41808, 0, 0.00021659, 4.9049e-05, 1.3424, 1.0134, 0.056837, 0.55534, 0.62557, 0.22294, 1.0191, 1.3859, 0.012975, 0.087834, 0, 0.20762, 0, 0.00016385
11, Orthographic, 1164.6631, 3.8169, 0, 0.049683, 0, 0.58923, 0.00058344, 1.7454, 0.96305, 0.036832, 0.29609, 0.76139, 0.70111, 0.11109, 0.58176, 0.30808, 0.02251, 0, 0.20827, 0, 0.68169
12, Orthographic, 1343.0206, 1.9684, 0, 0.052124, 0, 0.063095, 0.022204, 1.5084, 0.80506, 0.042467, 0.59433, 0.11709, 1.1722, 0.83345, 0.63987, 0.32679, 0.10157, 0, 0.28058, 0, 0.2442
13, Orthographic, 1823.9958, 2.8225, 0, 3.0295e-07, 0, 0.5538, 0.0083059, 1.6334, 0.88173, 0.12273, 0.31941, 0.36482, 2.5019, 1.0317, 0.02196, 0.52844, 0.40069, 0, 0.25808, 0, 0.59823
14, Orthographic, 1234.5747, 1.1012, 0, 0.19039, 0, 0.53895, 0.013582, 0.97895, 0.7651, 0.10794, 0.26941, 0.40973, 1.2318, 0.80408, 0.00043305, 0.79512, 0.00018166, 0, 0.26555, 0, 4.985e-05
15, Orthographic, 1091.2861, 4.0514, 0, 5.486e-07, 0, 0.48474, 0.0022788, 1.3432, 0.72306, 0.060677, 0.71267, 0.37937, 1.2334, 0.7818, 0.36658, 0.36503, 0.13229, 0, 0.26142, 0, 0.54516
16, Orthographic, 1493.9411, 3.1984, 0, 0.020996, 0, 0.87428, 0.0070407, 1.9944, 1.1994, 0.064408, 0.37007, 0.2001, 2.2566, 1.4718, 0.66153, 0.37179, 0.44562, 0, 0.12085, 0, 1.3883
17, Orthographic, 884.3097, 4.9918, 0, 0.27456, 0, 0.024244, 0.012779, 1.9759, 0.92701, 7.9802e-07, 0.56143, 0.54025, 0.014949, 0.39949, 0.28649, 0.092722, 0.21447, 0, 0.26436, 0, 0.42586
18, Orthographic, 1319.5942, 1.6229, 0, 0.10283, 0, 0.00092705, 0.00045438, 2.7117, 1.4654, 0.0001683, 0.042601, 0.72297, 0.37233, 1.3405, 0.54738, 0.23803, 0.090987, 0, 1.1197e-06, 0, 0.54965
19, Orthographic, 1553.1893, 3.1817, 0, 0.15984, 0, 0.31862, 4.2015e-06, 2.0165, 1.049, 0.051664, 0.34681, 0.67131, 0.1555, 0.8558, 0.42216, 0.10108, 0.23301, 0, 0.2677, 0, 0.26071
20, Orthographic, 1746.7219, 3.1643, 0, 0.12605, 0, 0.22242, 0.011378, 4.0016, 2.0358, 4.8375e-07, 0.55576, 0.37358, 0.16002, 0.75187, 0.73351, 0.16425, 0.0095299, 0, 0.012359, 0, 0.72719
21, Orthographic, 1108.5506, 4.5029, 0, 0.1829, 0, 0.044179, 0.0084402, 1.5334, 0.87471, 0.022282, 0.75676, 0.90031, 0.84483, 1.0586, 9.3161e-06, 8.4824e-05, 0.082301, 0, 0.25516, 0, 0.67342
22, Orthographic, 861.202, 5.0015, 0, 0.063614, 0, 0.25551, 0.014379, 1.4338, 0.64074, 0.11586, 0.8069, 0.19222, 0.22019, 0.95085, 1.5024, 0.31404, 0.18042, 0, 0.26097, 0, 0.94817
23, Orthographic, 1998.8083, 2.0071, 0, 0.10301, 0, 0.13375, 0.015134, 1.7647, 0.76931, 0.12236, 0.088704, 0.55784, 0.1496, 0.0096671, 0.62574, 0.23303, 0.25765, 0, 0.25536, 0, 1.5021
24, Orthographic, 1218.5647, 4.995, 0, 0.030614, 0, 0.19875, 0.033438, 2.6013, 1.0644, 2.4903e-07, 0.69918, 0.26085, 0.6709, 0.67465, 0.30556, 0.30439, 0.09077, 0, 0.242, 0, 0.12762
25, Orthographic, 1390.1855, 5.0052, 0, 0.25066, 0, 0.19269, 0.016576, 1.8716, 1.1765, 0.041795, 0.58923, 0.89343, 1.0453, 0.97598, 0.58689, 0.68379, 0.0081651, 0, 0.2459, 0, 0.0088847
26, Orthographic, 1795.3221, 1.5072, 0, 0.37738, 0, 0.096404, 0.020103, 4.0129, 1.6668, 5.079e-06, 0.28151, 0.67751, 0.07359, 0.15922, 0.21836, 0.40342, 0.99992, 0, 0.13042, 0, 1.1696
27, Orthographic, 957.5917, 4.4973, 0, 0.029113, 0, 0.34137, 0.0048731, 1.7325, 0.99493, 8.4634e-07, 0.54905, 0.21451, 0.71616, 1.0815, 0.93601, 0.31651, 0.0090161, 0, 0.25801, 0, 0.23778
28, Orthographic, 1193.409, 4.9401, 0, 0.036029, 0, 0.080512, 6.6748e-06, 2.1145, 0.86273, 0.037323, 0.78756, 0.037811, 0.98967, 0.13028, 0.51921, 0.29998, 0.049437, 0, 0.23726, 0, 0.43277
29, Orthographic, 1405.5321, 2.9664, 0, 0.0087084, 0, 0.1729, 0.0096148, 1.2663, 0.90902, 0.11017, 0.5574, 0.33305, 1.2127, 0.65796, 1.2408, 0.00021635, 0.034376, 0, 0.26909, 0, 0.1812
30, Orthographic, 1296.2504, 4.9584, 0, 0.050158, 0, 0.070698, 0.0086652, 1.3428, 0.87432, 0.118, 0.74213, 0.76184, 0.87287, 0.11508, 0.55098, 0.1756, 1.3364e-05, 0, 0.27125, 0, 0.00013042
31, Orthographic, 210.3623, 5.0109, 0, 0.05361, 0, 0.055005, 0.034923, 1.5965, 1.08, 7.5362e-07, 0.21832, 0.81824, 1.8712, 0.18813, 0.66628, 0.3697, 0.00047972, 0, 0.20372, 0, 0.61795
32, Orthographic, 1430.2179, 3.8917, 0, 0.45926, 0, 7.1332e-06, 0.00088787, 2.2406, 1.0595, 0.026511, 0.69033, 0.6672, 0.7344, 0.81421, 0.14332, 0.056285, 0.22363, 0, 0.21352, 0, 0.4863
33, Orthographic, 1846.9041, 1.3417, 0, 0.43249, 0, 0.070858, 0.0047245, 4.0008, 1.1516, 0.0057337, 0.81735, 0.085068, 2.6577, 0.63272, 0.31848, 0.17767, 0.29778, 0, 0.22507, 0, 0.41981
34, Orthographic, 1655.3498, 2.3672, 0, 0.091618, 0, 0.3024, 0.010164, 3.5065, 1.816, 2.35e-05, 0.3512, 0.89765, 0.0021779, 0.96181, 0.65773, 0.33997, 1.9653e-06, 0, 0.074573, 0, 0.73977
35, Orthographic, 2161.9242, 1.0884, 0, 0.36997, 0, 0.089162, 0.00049147, 2.3871, 1.2321, 0.069614, 1.6025e-07, 0.83694, 0.31644, 2.3346, 0.19168, 0.90781, 0.025759, 0, 0.26536, 0, 1.0071
36, Orthographic, 833.06, 4.9956, 0, 0.076937, 0, 0.25955, 5.979e-06, 1.4638, 0.82167, 0.0060039, 0.60915, 0.61338, 0.38046, 0.33499, 0.72631, 0.42173, 0.15124, 0, 0.24826, 0, 0.58568
