participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, gamma,  Ter, st
1, Pure Intrusion, 141.6147, 6.6654, 0, 1.4029, 0, 3.3946e-05, 0.72258, 3.2002, 0.18358, 0.0002288, 0
2, Pure Intrusion, 1512.8991, 0.33938, 0, 5.2981, 0, 0.026277, 0.023814, 1.1125, 0.044814, 0.23452, 0
3, Pure Intrusion, 1221.8428, 2.8921, 0, 1.4473, 0, 0.29819, 0.90759, 1.4927, 0.53723, 0.25775, 0
4, Pure Intrusion, 1206.7405, 1.7115, 0, 4.3722, 0, 0.90367, 0.00020312, 1.4309, 0.26283, 0.19617, 0
5, Pure Intrusion, 1170.4058, 2.8143, 0, 2.6134, 0, 0.42877, 0.90189, 1.8728, 0.4851, 0.18152, 0
6, Pure Intrusion, 1249.0976, 2.3182, 0, 0.88682, 0, 0.50675, 0.078705, 3.8787, 0.029686, 6.6646e-05, 0
7, Pure Intrusion, 1256.4469, 1.274, 0, 4.019, 0, 0.90322, 0.38332, 1.3157, 0.36007, 0.25889, 0
8, Pure Intrusion, 780.5617, 3.8514, 0, 0.89078, 0, 0.0062335, 0.090545, 1.2164, 0.36468, 0.19396, 0
9, Pure Intrusion, 1527.0939, 3.0086, 0, 1.0134, 0, 0.24355, 0.90593, 2.4031, 0.46998, 0.10077, 0
10, Pure Intrusion, 1318.0788, 2.7445, 0, 2.073, 0, 0.004845, 0.90372, 1.634, 0.69992, 0.11993, 0
11, Pure Intrusion, 1170.6081, 3.256, 0, 1.4689, 0, 0.0073923, 0.90991, 1.7224, 0.43535, 0.13871, 0
12, Pure Intrusion, 1366.1115, 1.0224, 0, 3.5846, 0, 0.72634, 1.7258e-05, 1.3211, 0.33117, 0.21685, 0
13, Pure Intrusion, 1822.8287, 0.3205, 0, 2.9215, 0, 0.00015914, 0.55382, 1.4171, 0.036952, 0.15675, 0
14, Pure Intrusion, 1194.1307, 0.43609, 0, 2.3625, 0, 0.36721, 0.37625, 1.2348, 0.89883, 0.22503, 0
15, Pure Intrusion, 1113.2766, 3.0138, 0, 3.5931e-06, 0, 0.35486, 0.31679, 0.92688, 0.76453, 0.23071, 0
16, Pure Intrusion, 1476.2725, 1.8986, 0, 3.568, 0, 0.90524, 0.55591, 2.1771, 0.30478, 0.020546, 0
17, Pure Intrusion, 887.349, 3.6067, 0, 3.5506, 0, 0.16898, 0.90759, 1.8801, 0.49444, 0.17299, 0
18, Pure Intrusion, 1316.9053, 1.532, 0, 2.8947, 0, 0.093288, 0.32903, 2.5924, 0.022977, 3.9995e-05, 0
19, Pure Intrusion, 1562.2937, 2.251, 0, 1.479, 0, 2.8542e-05, 0.90143, 2.124, 0.45158, 0.080292, 0
20, Pure Intrusion, 1697.9714, 2.4726, 0, 0.40116, 0, 0.15956, 0.91316, 2.4964, 0.53923, 0.28558, 0
21, Pure Intrusion, 1089.3063, 3.5252, 0, 2.5483, 0, 0.000906, 0.32197, 1.4027, 0.76082, 0.19258, 0
22, Pure Intrusion, 881.9576, 0.4932, 0, 4.4638, 0, 0.34922, 0.78388, 1.021, 0.64534, 0.22171, 0
23, Pure Intrusion, 1968.3591, 2.0543, 0, 1.1682, 0, 0.10529, 0.40715, 2.3406, 0.69192, 8.1637e-06, 0
24, Pure Intrusion, 1181.3067, 3.6499, 0, 3.5421, 0, 0.02887, 0.90628, 2.748, 0.67063, 0.03791, 0
25, Pure Intrusion, 1419.3036, 4.1055, 0, 0.00086141, 0, 0.4212, 0.90852, 1.4494, 0.65325, 0.25427, 0
26, Pure Intrusion, 1808.8254, 1.2685, 0, 2.0738, 0, 0.0033546, 0.35689, 3.5874, 0.21119, 1.1722e-05, 0
27, Pure Intrusion, 976.4837, 3.1103, 0, 1.7636, 0, 0.035248, 0.90687, 1.3043, 0.46892, 0.25556, 0
28, Pure Intrusion, 1223.2368, 1.8199, 0, 0.0012869, 0, 0.22717, 0.90479, 1.0486, 0.72598, 0.2122, 0
29, Pure Intrusion, 1402.4918, 0.42552, 0, 3.6839, 0, 0.9021, 0.35735, 1.1535, 0.086899, 0.24798, 0
30, Pure Intrusion, 1298.365, 0.30428, 0, 2.9418, 0, 0.5924, 0.0015379, 1.0406, 0.14445, 0.25206, 0
31, Pure Intrusion, 201.5833, 5.8301, 0, 2.528, 0, 0.2961, 0.9053, 1.7121, 0.23667, 0.20277, 0
32, Pure Intrusion, 1447.9576, 2.3848, 0, 1.8361, 0, 0.0017395, 0.91015, 1.6759, 0.66012, 0.13375, 0
33, Pure Intrusion, 1856.9206, 0.68429, 0, 0.76594, 0, 0.00039562, 0.90105, 1.6365, 0.24813, 0.083115, 0
34, Pure Intrusion, 1642.7307, 2.2354, 0, 1.6259, 0, 0.00029416, 0.55222, 3.355, 0.43179, 1.9074e-05, 0
35, Pure Intrusion, 2119.3339, 1.1548, 0, 0.64763, 0, 0.188, 0.67125, 2.8304, 0.50188, 0.19745, 0
36, Pure Intrusion, 865.6879, 2.9827, 0, 1.5617, 0, 0.031003, 0.90505, 1.0685, 0.52238, 0.22969, 0
