participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st, iota
1, Spatiotemporal Gradient, 207.7632, 5.0155, 0, 0.71319, 0, 0.0002543, 0.0027516, 2.6338, 1.328, 0.032383, 0.032988, 0.23088, 3.0543, 0.14533, 1.4854, 0.15437, 0, 0, 2.568e-05, 0, 0
2, Spatiotemporal Gradient, 1511.9763, 2.5069, 0, 0.91953, 0, 0.5613, 1.8353e-05, 1.7916, 0.91601, 0.07297, 0.68287, 0.39586, 1.4304, 0.017891, 0.93138, 0.37256, 0, 0, 0.25722, 0, 0
3, Spatiotemporal Gradient, 1214.934, 4.0063, 0, 1.4848, 0, 2.9452e-05, 5.9381e-05, 1.7989, 1.0196, 0.068538, 0.47119, 0.8478, 0.98805, 0.88819, 0.4218, 4.8887e-05, 0, 0, 0.28694, 0, 0
4, Spatiotemporal Gradient, 1181.6171, 3.0986, 0, 0.33717, 0, 0.29286, 0.0085897, 1.4418, 0.75242, 0.050748, 0.35574, 0.698, 0.76377, 0.85825, 0.70225, 0.0011879, 0, 0, 0.25928, 0, 0
5, Spatiotemporal Gradient, 1233.1862, 3.8102, 0, 0.00094377, 0, 0.23816, 1.4699e-07, 2.2312, 1.0808, 0.00014136, 0.67504, 6.4537e-06, 0.45469, 0.82463, 0.085688, 0.25054, 0, 0, 0.20977, 0, 0
6, Spatiotemporal Gradient, 1230.0464, 2.634, 0, 0.8704, 0, 0.0065111, 0.015874, 3.9894, 0.86408, 0.048121, 0.00033457, 0.0066639, 0.77589, 1.1815, 0.75556, 0.61177, 0, 0, 4.2163e-05, 0, 0
7, Spatiotemporal Gradient, 1258.3409, 4.6004, 0, 0.06221, 0, 0.073078, 0.023187, 1.5407, 0.87933, 0.060424, 0.6039, 0.64834, 1.0331, 0.56317, 0.53495, 0.041901, 0, 0, 0.29261, 0, 0
8, Spatiotemporal Gradient, 759.3037, 4.9519, 0, 0.5222, 0, 0.10315, 0.059287, 1.6499, 1.0067, 0.043031, 0.34209, 0.001836, 2.9721, 0.89909, 0.65249, 0.00072989, 0, 0, 0.16499, 0, 0
9, Spatiotemporal Gradient, 1512.0965, 3.6248, 0, 1.0183, 0, 0.35381, 0.00095989, 2.7058, 1.5948, 0.026784, 0.38236, 0.61457, 0.29219, 0.5144, 0.025537, 6.95e-06, 0, 0, 0.13284, 0, 0
10, Spatiotemporal Gradient, 1326.5315, 2.8995, 0, 3.0331, 0, 0.0010253, 0.0078243, 1.5587, 1.2971, 0.063542, 0.34258, 0.48774, 0.014358, 0.085951, 0.024307, 0.00018068, 0, 0, 0.1531, 0, 0
11, Spatiotemporal Gradient, 1159.9654, 3.7824, 0, 0.29514, 0, 0.34828, 0.0016202, 1.7412, 0.98479, 0.03606, 0.30526, 0.83687, 0.62144, 0.25474, 0.070012, 0.50311, 0, 0, 0.20195, 0, 0
12, Spatiotemporal Gradient, 1338.8805, 2.3024, 0, 0.58256, 0, 0.56481, 0.0073479, 1.683, 0.81374, 0.018519, 0.62552, 0.43493, 0.76309, 0.32904, 0.032011, 0.75385, 0, 0, 0.28027, 0, 0
13, Spatiotemporal Gradient, 1831.8306, 1.3356, 0, 2.3811e-06, 0, 0.1625, 0.021871, 1.0837, 1.7169, 0.069671, 0.40311, 0.6005, 1.2199, 0.46221, 0.23214, 0.90021, 0, 0, 0.24189, 0, 0
14, Spatiotemporal Gradient, 1197.0643, 3.686, 0, 2.2026, 0, 2.7156e-05, 0.0020572, 1.2874, 0.89589, 0.12214, 0.37895, 0.22578, 1.4693, 0.25395, 0.13588, 0.89406, 0, 0, 0.24316, 0, 0
