participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st, iota
1, Temporal Gradient, 221.6223, 5.0159, 0, 0.092203, 0, 0.42492, 0.0010428, 2.6597, 1.602, 0.017929, 0.063024, 0.67864, 0.95192, 1.048, 0, 0, 0, 0, 4.0316e-05, 0, 0
2, Temporal Gradient, 1510.6952, 1.7738, 0, 0.0022102, 0, 0.020477, 0.0053614, 1.3924, 0.87727, 0.081226, 0.53973, 0.37885, 1.0897, 0.14862, 0, 0, 0, 0, 0.25899, 0, 0
3, Temporal Gradient, 1199.5178, 4.5161, 0, 1.492e-05, 0, 0.0086701, 0.0025774, 2.1206, 1.1354, 0.0008275, 0.58593, 0.56748, 1.5751, 0.0087354, 0, 0, 0, 0, 0.26215, 0, 0
4, Temporal Gradient, 1178.5004, 3.0419, 0, 0.055212, 0, 0.17791, 0.0069437, 1.4178, 0.74839, 0.046981, 0.3504, 0.65105, 0.91036, 0.61663, 0, 0, 0, 0, 0.25993, 0, 0
5, Temporal Gradient, 1194.6011, 3.0174, 0, 0.30979, 0, 0.26211, 0.0020484, 1.7247, 1.1015, 4.1929e-05, 0.5177, 0.16149, 0.33637, 1.2778, 0, 0, 0, 0, 0.2517, 0, 0
6, Temporal Gradient, 1256.9632, 2.204, 0, 0.13505, 0, 0.010585, 0.0010512, 3.5765, 1.7889, 0.027331, 0.0044734, 0.19378, 0.33993, 1.965, 0, 0, 0, 0, 0.0064443, 0, 0
7, Temporal Gradient, 1254.4742, 4.5382, 0, 7.0405e-07, 0, 0.10919, 0.0081991, 1.5163, 0.87056, 0.082993, 0.58181, 0.78192, 0.48272, 1.4234, 0, 0, 0, 0, 0.29346, 0, 0
8, Temporal Gradient, 754.6574, 5.0003, 0, 0.075075, 0, 0.022501, 0.0016371, 1.6601, 1.028, 0.018013, 0.38781, 0.22362, 2.4266, 0.72661, 0, 0, 0, 0, 0.16499, 0, 0
9, Temporal Gradient, 1518.4485, 3.4702, 0, 9.6406e-07, 0, 0.0013425, 0.014033, 2.6092, 1.6455, 0.027633, 0.41278, 0.89248, 0.55213, 1.3905, 0, 0, 0, 0, 0.13424, 0, 0
10, Temporal Gradient, 1337.7775, 3.3018, 0, 0.030474, 0, 0.35443, 0.0054451, 1.4806, 1.0868, 0.011693, 0.71041, 0.90004, 0.52658, 0.40493, 0, 0, 0, 0, 0.19271, 0, 0
11, Temporal Gradient, 1157.8613, 3.7033, 0, 0.029492, 0, 0.18055, 0.0011076, 1.71, 0.98503, 0.046258, 0.30027, 0.7619, 0.85085, 0.98271, 0, 0, 0, 0, 0.20312, 0, 0
12, Temporal Gradient, 1335.1002, 1.95, 0, 0.084799, 0, 0.57487, 0.0017057, 1.558, 0.80489, 0.028018, 0.59199, 0.016973, 0.48342, 1.0189, 0, 0, 0, 0, 0.28049, 0, 0
13, Temporal Gradient, 1815.6243, 2.7572, 0, 7.7188e-06, 0, 0.11444, 0.0084188, 1.6242, 0.87682, 0.1306, 0.31988, 0.44601, 2.0549, 1.3765, 0, 0, 0, 0, 0.25839, 0, 0
14, Temporal Gradient, 1226.459, 1.9057, 0, 1.7051e-06, 0, 0.27474, 0.029605, 1.027, 0.8962, 0.12366, 0.80391, 0.42678, 2.9636, 0.29997, 0, 0, 0, 0, 0.26016, 0, 0
15, Temporal Gradient, 1083.6688, 4.0067, 0, 0.041137, 0, 0.1328, 0.0083872, 1.3177, 0.7209, 0.060897, 0.70682, 0.36524, 0.77051, 0.0097453, 0, 0, 0, 0, 0.26154, 0, 0
16, Temporal Gradient, 1489.8824, 3.4783, 0, 0.019031, 0, 0.66546, 0.0048394, 2.2978, 1.47, 2.5695e-05, 0.54463, 0.00035746, 0.24125, 0.065751, 0, 0, 0, 0, 0.05245, 0, 0
17, Temporal Gradient, 876.3016, 4.9922, 0, 0.072812, 0, 0.084487, 0.00015139, 1.9379, 0.91208, 1.0795e-06, 0.5644, 0.77157, 0.83575, 0.23711, 0, 0, 0, 0, 0.2728, 0, 0
18, Temporal Gradient, 1319.437, 1.7211, 0, 0.18486, 0, 0.24274, 7.089e-07, 2.7842, 0.90426, 0.0056767, 0.020611, 0.00046004, 1.6011, 1.278, 0, 0, 0, 0, 4.039e-06, 0, 0
19, Temporal Gradient, 1546.3427, 3.1472, 0, 0.046628, 0, 0.1347, 0.002688, 1.9908, 1.049, 0.048472, 0.34884, 0.49474, 1.464, 0.78154, 0, 0, 0, 0, 0.26793, 0, 0
20, Temporal Gradient, 1757.2982, 1.7991, 0, 0.1014, 0, 0.014245, 0.030252, 2.0345, 0.69922, 0.072749, 3.2714e-06, 0.39572, 0.84583, 0.49638, 0, 0, 0, 0, 0.29968, 0, 0
21, Temporal Gradient, 1109.9713, 3.8634, 0, 0.00051048, 0, 0.030839, 0.0082905, 1.4222, 0.89153, 0.0096113, 0.67393, 1.2211e-05, 1.3047, 0.23199, 0, 0, 0, 0, 0.2518, 0, 0
22, Temporal Gradient, 853.0339, 5.0013, 0, 0.039407, 0, 0.037767, 0.0085518, 1.4482, 0.64581, 0.085303, 0.80759, 0.24855, 0.25074, 1.2864, 0, 0, 0, 0, 0.25992, 0, 0
23, Temporal Gradient, 1988.5986, 1.8584, 0, 0.2774, 0, 0.30048, 0.0036408, 1.9724, 1.3371, 0.085587, 0.26749, 0.583, 0.63089, 0.53935, 0, 0, 0, 0, 0.14948, 0, 0
24, Temporal Gradient, 1210.6128, 4.9858, 0, 0.2548, 0, 0.03885, 0.024397, 2.5947, 1.0642, 2.3717e-07, 0.69993, 0.87937, 0.55373, 0.44918, 0, 0, 0, 0, 0.24216, 0, 0
25, Temporal Gradient, 1381.6055, 5.003, 0, 0.21075, 0, 0.052637, 0.0056847, 1.8028, 1.1334, 0.044919, 0.56061, 0.61079, 0.90662, 0.72249, 0, 0, 0, 0, 0.25835, 0, 0
26, Temporal Gradient, 1877.2059, 1.3002, 0, 0.75022, 0, 2.3897e-05, 0.0094424, 3.4942, 1.5182, 0.12495, 0.10319, 0.034629, 3.1694, 1.6996, 0, 0, 0, 0, 0.012164, 0, 0
27, Temporal Gradient, 949.6035, 4.5095, 0, 0.0015344, 0, 0.20557, 0.0055625, 1.7326, 0.99662, 1.7158e-06, 0.55135, 0.30311, 1.3389, 0.64854, 0, 0, 0, 0, 0.25795, 0, 0
28, Temporal Gradient, 1184.7874, 4.9799, 0, 0.063503, 0, 0.16163, 0.01143, 2.132, 0.86463, 0.046365, 0.78834, 0.00082093, 1.5641, 0.78163, 0, 0, 0, 0, 0.2369, 0, 0
29, Temporal Gradient, 1400.3632, 3.1987, 0, 0.062905, 0, 0.037382, 1.167e-06, 1.3413, 1.0254, 0.048638, 0.77097, 0.2086, 1.0957, 1.4181, 0, 0, 0, 0, 0.25258, 0, 0
30, Temporal Gradient, 1287.9328, 5.0009, 0, 0.2013, 0, 0.072144, 0.013494, 1.4695, 0.86172, 0.20918, 0.7541, 0.8969, 4.5017, 2.3378, 0, 0, 0, 0, 0.27299, 0, 0
31, Temporal Gradient, 202.3714, 5.0115, 0, 0.10951, 0, 0.055454, 0.0034655, 1.598, 1.0851, 1.0656e-06, 0.21831, 0.69327, 0.72288, 0.24392, 0, 0, 0, 0, 0.20367, 0, 0
32, Temporal Gradient, 1423.4262, 3.9642, 0, 0.0849, 0, 0.18608, 0.015773, 2.2773, 1.08, 0.019181, 0.70498, 0.70771, 0.81095, 0.39786, 0, 0, 0, 0, 0.2079, 0, 0
33, Temporal Gradient, 1869.8101, 1.419, 0, 0.17803, 0, 0.3886, 0.0053995, 1.6457, 1.0425, 0.071383, 0.007082, 0.45293, 1.0744, 0.0090458, 0, 0, 0, 0, 0.080869, 0, 0
34, Temporal Gradient, 1709.9862, 1.7089, 0, 0.094422, 0, 0.014089, 0.014095, 2.2341, 0.69603, 0.08211, 0.025511, 0.26232, 3.8587, 0.82709, 0, 0, 0, 0, 0.27827, 0, 0
