participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Spatiotemporal Gradient, 271.5836, 5.0092, 0, 0.27634, 0, 0.058335, 0.036631, 2.621, 0.77819, 0.022788, 0.0095361, 0.30484, 0.069394, 0.007481, 0.022704, 0.23778, 0, 0, 0.00049469, 0
2, Spatiotemporal Gradient, 1514.2441, 1.8225, 0, 0.079453, 0, 0.26942, 0.0011378, 1.4638, 0.89757, 0.058225, 0.60586, 0.52923, 0.17713, 0.89229, 0.017235, 0.00054822, 0, 0, 0.25908, 0
3, Spatiotemporal Gradient, 1198.4559, 5.0005, 0, 0.042891, 0, 0.062491, 0.0099192, 2.3054, 1.133, 3.6096e-07, 0.65057, 0.0095544, 0.11558, 0.51838, 0.033146, 0.43392, 0, 0, 0.26209, 0
4, Spatiotemporal Gradient, 1184.4578, 3.0451, 0, 0.068558, 0, 8.651e-05, 0.0031144, 1.4505, 0.78226, 0.035633, 0.37192, 0.72406, 0.14841, 0.56413, 0.036537, 0.47383, 0, 0, 0.25243, 0
5, Spatiotemporal Gradient, 1198.6505, 2.9959, 0, 0.11792, 0, 0.27611, 0.006537, 1.7277, 1.1038, 7.4302e-07, 0.51335, 0.24801, 0.08661, 1.1792, 0.015361, 0.60342, 0, 0, 0.2503, 0
6, Spatiotemporal Gradient, 1346.5175, 2.3797, 0, 0.10961, 0, 0.042416, 0.015657, 3.3676, 0.79042, 0.046257, 4.5366e-06, 1.4503e-05, 0.64176, 0.0052728, 0.037534, 0.0043197, 0, 0, 0.13032, 0
7, Spatiotemporal Gradient, 1259.0702, 4.7929, 0, 6.0041e-05, 0, 0.20989, 0.00067722, 1.5426, 0.86158, 0.076276, 0.59706, 0.78817, 0.0083246, 1.4439, 0.0738, 0.13304, 0, 0, 0.29837, 0
8, Spatiotemporal Gradient, 758.8987, 5, 0, 0.16402, 0, 0.026307, 0.003293, 1.6926, 1.0367, 0.010629, 0.39049, 0.21097, 0.22618, 1.1688, 0.042039, 0.44647, 0, 0, 0.15999, 0
9, Spatiotemporal Gradient, 1525.0268, 3.2191, 0, 2.442e-06, 0, 0.077388, 0.012929, 2.2418, 1.5717, 0.015913, 0.41969, 0.4166, 0.31302, 0.97844, 0.061516, 0.00071673, 0, 0, 0.19268, 0
10, Spatiotemporal Gradient, 1341.9376, 3.2317, 0, 0.071618, 0, 0.037966, 0.0079284, 1.4452, 1.0826, 0.0058173, 0.7177, 0.43202, 0.48302, 0.89478, 0.090093, 0.73494, 0, 0, 0.19648, 0
