participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Temporal Gradient, 258.6664, 5.0126, 0, 0.14563, 0, 0.0032815, 0.0087901, 2.6247, 1.3532, 0.028807, 0.032962, 0.70958, 1.9258, 0.98405, 0, 0, 0, 0, 1.3155e-05, 0
2, Temporal Gradient, 1509.9537, 1.8613, 0, 0.11458, 0, 0.086336, 0.016285, 1.4503, 0.89046, 0.064542, 0.58999, 0.53019, 0.35262, 0.58012, 0, 0, 0, 0, 0.25946, 0
3, Temporal Gradient, 1204.7125, 3.8402, 0, 0.025738, 0, 0.10104, 9.8063e-06, 1.8733, 1.1487, 1.1662e-05, 0.58149, 0.34835, 0.45797, 0.4624, 0, 0, 0, 0, 0.26119, 0
4, Temporal Gradient, 1177.2587, 3.131, 0, 0.20075, 0, 0.46445, 0.0086689, 1.4304, 0.73071, 0.050617, 0.34855, 0.73903, 0.23908, 0.82193, 0, 0, 0, 0, 0.26578, 0
5, Temporal Gradient, 1194.9924, 2.9597, 0, 0.040092, 0, 0.011434, 0.000969, 1.6982, 1.1079, 2.8672e-06, 0.51906, 0.566, 0.079795, 0.9585, 0, 0, 0, 0, 0.25018, 0
6, Temporal Gradient, 1342.1497, 2.3558, 0, 0.037836, 0, 0.17904, 0.0077017, 3.5725, 1.1272, 0.060541, 1.2225e-05, 6.7563e-05, 1.7737, 0.64082, 0, 0, 0, 0, 0.052577, 0
7, Temporal Gradient, 1256.7334, 3.9137, 0, 0.03336, 0, 0.03832, 0.0062801, 1.3841, 0.81775, 0.057536, 0.49323, 0.4716, 1.582, 0.016234, 0, 0, 0, 0, 0.29998, 0
8, Temporal Gradient, 754.378, 4.9975, 0, 0.14961, 0, 0.42507, 0.0082068, 1.7014, 1.034, 0.017307, 0.36926, 0.00027182, 0.89368, 0.42418, 0, 0, 0, 0, 0.16042, 0
9, Temporal Gradient, 1518.1309, 3.2002, 0, 0.35856, 0, 3.0887e-05, 0.030375, 2.2429, 1.4783, 0.041731, 0.32212, 0.47251, 3.5646, 1.769, 0, 0, 0, 0, 0.19167, 0
10, Temporal Gradient, 1337.57, 3.0316, 0, 0.46825, 0, 4.611e-05, 0.0047984, 1.3458, 1.0029, 0.051761, 0.55287, 0.58444, 0.015535, 0.22605, 0, 0, 0, 0, 0.20963, 0
11, Temporal Gradient, 1156.9018, 3.6783, 0, 0.23799, 0, 0.017991, 0.0093958, 1.6991, 0.97899, 0.045604, 0.29429, 0.76058, 0.55784, 0.86313, 0, 0, 0, 0, 0.2036, 0
12, Temporal Gradient, 1335.3929, 1.9546, 0, 0.14136, 0, 0.21001, 0.0069847, 1.5072, 0.78865, 0.033815, 0.59216, 0.24826, 0.38988, 0.45449, 0, 0, 0, 0, 0.28681, 0
13, Temporal Gradient, 1816.6419, 2.859, 0, 0.032302, 0, 0.15329, 0.00023627, 1.6342, 0.85962, 0.098759, 0.32975, 0.47402, 0.61556, 0.36696, 0, 0, 0, 0, 0.26605, 0
