participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, Ter, st
1, Intrusion + Guess,111.9315,7.5047,0,2.9783,0,0.60851,0.30649,3.6224,2.0323,0.06287,0.14661,0.0010782,0
2, Intrusion + Guess,1513.4903,0.71114,0,0.053402,0,0.36988,0.90109,1.1112,1.4635,0.38865,0.11021,0.22621,0
3, Intrusion + Guess,1253.9962,2.278,0,2.1354,0,0.84801,0.0020982,1.447,1.7315,0.36112,0.018482,0.26575,0
4, Intrusion + Guess,1173.6778,3.5475,0,0.29405,0,0.90192,0.57054,1.6006,0.76406,0.14343,0.3861,0.25915,0
5, Intrusion + Guess,1161.6683,3.6744,0,4.1105,0,0.89952,0.11672,2.4232,1.3058,0.28553,0.22556,0.14983,0
6, Intrusion + Guess,1390.77,2.0295,0,0.0012958,0,0.4242,0.99968,2.6938,1.4304,0.075221,0.053227,0.3,0
7, Intrusion + Guess,1240.1989,2.6607,0,3.885,0,9.49E-05,0.53597,1.2452,1.346,0.38556,0.25636,0.27507,0
8, Intrusion + Guess,741.1691,5.2431,0,5.4803,0,2.49E-05,0.057433,2.0914,1.289,0.15027,0.29261,0.10235,0
9, Intrusion + Guess,1501.5552,4.1961,0,1.1226,0,0.90211,1.52E-05,3.1494,1.5319,0.11966,0.31561,0.13254,0
10, Intrusion + Guess,1316.9294,2.8163,0,2.9096,0,7.27E-05,0.01599,1.5184,1.2186,0.28928,0.41227,0.15574,0
11, Intrusion + Guess,1129.5224,4.31,0,5.085,0,0.68827,0.20747,2.4522,1.5252,0.17558,0.284,0.089799,0
12, Intrusion + Guess,1329.4911,1.6218,0,4.6322,0,0.66379,0.0029139,1.5613,0.79254,0.094118,0.49721,0.27874,0
13, Intrusion + Guess,1823.8353,2.1259,0,8.00E-05,0,6.08E-06,0.00017114,1.4798,1.2586,0.70342,0.076496,0.16321,0
14, Intrusion + Guess,1166.943,0.0012497,0,3.5634,0,0.55819,0.03646,1.698,0.90089,0.34706,0.63369,0.24772,0
15, Intrusion + Guess,1093.2654,0.52207,0,3.4987,0,0.61947,0.11389,0.7758,1.4726,5.68E-06,0.072452,0.26118,0
16, Intrusion + Guess,1479.9997,1.8021,0,3.3249,0,0.059531,5.51E-05,1.9851,1.6706,0.28942,0.11737,0.012467,0
17, Intrusion + Guess,864.6777,5.0196,0,4.4555,0,0.55889,0.00053078,2.0352,0.93523,0.081537,0.46588,0.25818,0
18, Intrusion + Guess,1307.4989,1.6164,0,4.318,0,0.00025391,0.68901,2.7095,1.402,0.021899,0.024439,2.39E-05,0
19, Intrusion + Guess,1527.6125,3.8891,0,0.99813,0,0.34177,3.96E-05,2.303,1.0283,0.25627,0.34336,0.26636,0
20, Intrusion + Guess,1650.5449,4.3367,0,1.8221,0,0.53985,4.81E-05,3.6653,1.7045,0.25903,0.36461,0.29797,0
21, Intrusion + Guess,1081.5196,3.8315,0,2.1235,0,0.0010135,0.035724,1.3186,0.78858,0.35854,0.3904,0.25604,0
22, Intrusion + Guess,858.1119,3.7374,0,3.7541,0,0.21758,0.012644,0.96506,1.2689,0.6614,0.16465,0.22346,0
23, Intrusion + Guess,1970.7964,2.6877,0,1.029,0,0.30107,0.90072,2.455,1.1166,0.63647,0.099441,0.13442,0
24, Intrusion + Guess,1192.671,3.8541,0,3.3574,0,5.01E-05,0.90229,2.423,0.88184,0.53103,0.15449,0.1443,0
25, Intrusion + Guess,1366.8661,6.1117,0,1.88E-05,0,0.22159,0.11773,1.9639,1.1352,0.090284,0.59311,0.25976,0
26, Intrusion + Guess,1776.6693,1.5212,0,4.1365,0,0.00035556,0.23995,4.017,1.7404,0.058808,0.25685,0.13496,0
27, Intrusion + Guess,951.8462,3.7075,0,2.8935,0,2.01E-05,0.70587,1.5647,1.0218,0.16365,0.33057,0.23983,0
28, Intrusion + Guess,1217.4654,1.0039,0,2.7059,0,1.80E-06,0.52449,1.1548,0.68536,0.39216,0.18185,0.24236,0
29, Intrusion + Guess,1393.8254,3.3678,0,3.9402,0,0.16584,0.032751,1.3838,1.1125,0.13242,0.70029,0.23899,0
30, Intrusion + Guess,1274.2908,7.5005,0,5.5719,0,0.00010317,0.22749,1.9809,1.0807,0.29389,0.62842,0.22329,0
31, Intrusion + Guess,160.2924,6.9339,0,2.0929,0,5.06E-05,0.068869,2.0253,1.0016,0.059807,0.2128,0.19929,0
32, Intrusion + Guess,1433.1223,2.7299,0,1.0132,0,0.55536,0.90231,1.5187,0.70207,0.43448,0.20029,0.25886,0
33, Intrusion + Guess,1850.1562,3.0096,0,0.49994,0,1.93E-05,0.90393,1.8897,2.6973,0.69589,0.040881,0.080065,0
34, Intrusion + Guess,1628.0745,2.888,0,2.0089,0,1.89E-05,0.70753,3.8289,1.4054,0.41686,0.10158,0.13831,0
35, Intrusion + Guess,2103.1529,1.6108,0,1.5385,0,0.21012,0.075388,3.7597,2.1354,0.2134,0.40406,0.10537,0
36, Intrusion + Guess,812.4335,5.2583,0,5.9209,0,0.016414,0.50666,1.6082,0.88861,0.12543,0.51294,0.23106,0
,,45850.0715,,,,,,,,,,,,
