participant, model_name, AIC, v1_targ, v2_targ, eta_targ,  a_targ, a_guess, beta, Ter, st
1, Pure Guess,558.3161,2.5465,0,0.014535,1.4463,3.2192,0.10801,0.058643,0.1275
2, Pure Guess,1591.2972,2.4973,0,0.63707,2.1751,1.3437,0.73343,0.021852,0.0099174
3, Pure Guess,1342.8382,2.5115,0,0.072209,2.2032,1.2294,0.60904,2.64E-05,0.11712
4, Pure Guess,1264.1773,2.5085,0,0.14752,1.986,1.2756,0.47985,0.0056185,0.052723
5, Pure Guess,1196.9643,2.5089,0,0.49422,1.539,1.0754,0.46121,0.1485,0.28037
6, Pure Guess,1231.7508,2.5037,0,0.14877,3.8863,2.724,0.15604,0.0076772,0.057542
7, Pure Guess,1575.0857,0.0035332,0,0.26407,3.9871,1.2906,0.992,0.0080468,0.06784
8, Pure Guess,885.9691,2.5241,0,0.23241,1.5986,1.3096,0.31252,0.034217,0.024174
9, Pure Guess,1529.5205,2.513,0,0.34445,2.2801,1.7376,0.41972,0.033832,0.16351
10, Pure Guess,1408.8994,2.5109,0,0.12861,1.9425,1.2741,0.77407,0.01796,0.034234
11, Pure Guess,1283.5837,1.6279,0,0.29781,1.3509,0.72782,0.32051,0.12701,0.28046
12, Pure Guess,1396.4514,2.5057,0,0.090525,3.7804,0.94681,0.905,0.24447,0.051621
13, Pure Guess,1901.5509,0.1068,0,0.08742,4.4994,1.5337,0.9999,0.023036,0.023033
14, Pure Guess,2128.7449,1.9781,0,2.32E-08,4.77,1.8802,1,8.60E-07,0.050988
15, Pure Guess,1111.4162,2.501,0,0.28496,1.0301,0.88781,0.82722,0.224,0.010401
16, Pure Guess,1490.117,2.5044,0,0.075824,2.0789,1.5124,0.48971,0.0019747,0.0010758
17, Pure Guess,1828.5937,1.3625,0,8.87E-07,1.2628,4.6766,0.55929,5.01E-07,0.19677
18, Pure Guess,1391.8174,1.6313,0,0.028762,2.2933,1.3186,0.040356,0.0096033,0.53479
19, Pure Guess,1573.6938,2.5073,0,0.27401,2.4663,1.6001,0.50103,0.010714,0.06987
20, Pure Guess,1721.8954,2.5069,0,0.053963,2.9499,1.9033,0.62718,0.13327,0.093501
21, Pure Guess,1370.73,0.32793,0,0.0043521,1.197,4.5108,6.25E-06,0.011568,0.070674
22, Pure Guess,963.5411,0.0002175,0,0.34808,4.2406,0.76765,0.97161,0.17289,0.12747
23, Pure Guess,2110.8162,0.48558,0,3.08E-07,1.6012,4.5555,0.13184,0.04402,0.087083
24, Pure Guess,1424.5821,0.00017923,0,0.0010528,4.5056,0.99937,0.98978,0.25575,1.51E-05
25, Pure Guess,1485.1282,2.512,0,0.27352,1.8425,1.4324,0.5748,0.064328,0.066683
26, Pure Guess,1811.8292,1.6579,0,0.38472,4.5134,1.6146,0.22421,0.010557,5.71E-05
27, Pure Guess,1426.6259,0.0005802,0,0.3475,4.5396,1.2164,1,0.07961,0.030119
28, Pure Guess,1226.7129,2.3169,0,0.44145,1.7259,0.89183,0.88665,0.20472,0.082601
29, Pure Guess,1475.5732,2.4912,0,0.13211,1.6612,1.2688,0.7392,0.017504,0.18432
30, Pure Guess,1389.2897,0.035642,0,0.40007,4.5048,1.0825,0.99996,0.17406,4.35E-07
31, Pure Guess,1347.0916,2.3873,0,0.097421,4.5089,1.1653,0.99999,0.0069783,0.021694
32, Pure Guess,1488.393,2.5074,0,0.18001,2.1902,1.3731,0.64989,8.41E-05,0.046835
33, Pure Guess,1875.0562,1.5067,0,0.51209,4.4111,1.2736,0.86641,0.062095,0.093544
34, Pure Guess,1676.7522,2.5004,0,0.20731,3.6789,1.8048,0.60393,4.69E-07,0.033252
35, Pure Guess,2139.5673,2.1823,0,0.0095892,4.506,2.2464,0.75103,1.62E-06,0.16813
36, Pure Guess,920.627,1.3907,0,0.50788,0.9935,0.85936,0.56877,0.23093,0.0040336
,,52544.9988,1.782298948,0,0.209008176,2.78185,1.681359722,0.618726729,0.067931909,0.090665317
