participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Multiplicative, 292.0872, 5.0071, 0, 3.9421e-06, 0, 0.22947, 3.5956e-07, 2.6665, 1.1137, 0.076282, 0.064746, 0.82075, 0.21228, 2.1489, 0.28379, 0.40104, 0.0068774, 0.16377, 0.00022121, 0
2, Multiplicative, 1522.3717, 1.321, 0, 0.035443, 0, 0.37001, 0.015106, 1.4953, 0.96618, 0.30675, 0.69314, 0.53966, 0.51396, 0.89864, 0.19783, 0.43118, 0.33115, 0.090836, 0.24415, 0
3, Multiplicative, 1202.5154, 5.0007, 0, 0.020456, 0, 0.012401, 0.0056588, 2.3063, 1.1299, 0.009979, 0.65073, 0.77313, 0.93029, 1.0909, 0.24197, 0.061637, 0.5667, 0.10929, 0.26195, 0
4, Multiplicative, 1205.2006, 3.0662, 0, 0.16406, 0, 0.13685, 0.0051307, 1.5321, 0.92707, 0.16024, 0.44377, 0.90056, 0.71045, 0.013091, 0.11918, 0.78144, 0.2468, 0.13433, 0.22561, 0
5, Multiplicative, 1202.0291, 3.6243, 0, 0.005694, 0, 0.89106, 0.060035, 1.9907, 1.0925, 6.3768e-05, 0.5211, 0.76109, 0.65975, 0.99772, 0.11024, 0.38613, 0.064244, 0.070874, 0.25095, 0
6, Multiplicative, 1307.8748, 1.8922, 0, 0.052307, 0, 0.03377, 0.0017677, 3.1772, 1.1363, 0.084306, 0.003259, 0.49525, 0.37228, 0.010514, 0.17161, 0.90148, 0.95916, 0.13739, 0.088852, 0
7, Multiplicative, 1270.0005, 4.9972, 0, 0.10384, 0, 0.00035584, 0.0051305, 1.7094, 0.97982, 0.14229, 0.70836, 0.83539, 0.52554, 0.8847, 0.039609, 0.63248, 0.16462, 0.022155, 0.27409, 0
8, Multiplicative, 772.8352, 4.9989, 0, 0.025747, 0, 0.034986, 0.0083577, 1.7452, 1.1226, 0.0039963, 0.42723, 0.50565, 0.67948, 2.1175, 0.32973, 0.48603, 0.41088, 0.080579, 0.14833, 0
9, Multiplicative, 1520.6904, 3.5119, 0, 0.061635, 0, 0.14455, 0.0047582, 2.6832, 1.7083, 0.012758, 0.48516, 0.89618, 3.0056, 0.38222, 0.33739, 0.78902, 0.00041385, 0.026443, 0.11804, 0
10, Multiplicative, 1344.9894, 3.2326, 0, 0.054682, 0, 9.3985e-05, 0.032927, 1.4726, 1.0888, 0.05588, 0.72105, 0.53285, 2.7677, 0.72797, 0.18309, 0.4653, 0.031345, 0.056759, 0.19212, 0
11, Multiplicative, 1164.174, 3.7854, 0, 0.018538, 0, 0.095158, 0.016488, 1.9208, 1.2121, 0.10716, 0.40591, 0.62284, 3.2629, 0.0088626, 3.4164e-05, 0.726, 0.30574, 0.083377, 0.15471, 0
12, Multiplicative, 1346.3645, 1.7691, 0, 0.010341, 0, 0.72259, 0.005391, 1.576, 0.80671, 0.0091283, 0.59921, 0.4986, 1.5207, 0.64338, 0.049796, 0.34216, 0.99625, 0.10603, 0.28001, 0
13, Multiplicative, 1835.2979, 1.2241, 0, 0.0242, 0, 0.22519, 0.0085935, 1.626, 1.4096, 0.14484, 0.66572, 0.607, 1.2505, 1.1113, 0.10312, 0.22057, 0.51351, 0.068774, 0.13576, 0
14, Multiplicative, 1236.4025, 1.0991, 0, 0.14346, 0, 0.28225, 0.0080308, 0.85415, 0.93485, 0.14468, 0.81126, 0.49782, 0.95633, 0.64096, 0.14745, 0.69756, 0.56983, 0.073251, 0.26046, 0
15, Multiplicative, 1102.3527, 4.7672, 0, 0.054096, 0, 0.18877, 0.015824, 1.5134, 0.79148, 0.14471, 0.80244, 0.49947, 0.0096063, 1.1086, 0.21585, 0.90189, 0.30992, 0.081499, 0.24898, 0
16, Multiplicative, 1501.1167, 3.2845, 0, 0.085913, 0, 0.19032, 9.6844e-07, 2.063, 1.427, 0.18572, 0.5313, 0.49937, 0.24462, 2.3186, 0.11612, 0.16917, 0.67904, 0.016004, 0.071163, 0
17, Multiplicative, 884.5354, 4.9986, 0, 0.10906, 0, 0.18948, 0.012678, 1.9469, 0.91201, 0.00044054, 0.56308, 0.56637, 0.40226, 0.70517, 0.26791, 0.7372, 0.46288, 0.08395, 0.27208, 0
18, Multiplicative, 1322.1892, 1.689, 0, 0.094448, 0, 0.14812, 0.00094402, 2.7722, 1.0658, 0.012095, 0.03077, 0.91257, 2.1158, 1.6821, 0.39466, 0.90557, 0.20909, 0.17627, 0.00043628, 0
19, Multiplicative, 1568.7006, 3.5584, 0, 0.018409, 0, 0.27885, 0.0012985, 2.4457, 1.4116, 0.45339, 0.54648, 0.53439, 2.5935, 1.8044, 0.20404, 0.0088346, 0.0096725, 0.023251, 0.18002, 0
20, Multiplicative, 1702.564, 4.8487, 0, 0.29025, 0, 0.038306, 0.0099152, 4, 1.7685, 0.1714, 0.63358, 0.71824, 1.5462, 0.99964, 0.06417, 0.00014209, 0.10852, 0.12529, 0.29996, 0
21, Multiplicative, 1107.9306, 4.5421, 0, 0.023355, 0, 0.11928, 0.004738, 1.5454, 0.88557, 0.16252, 0.75603, 0.77485, 1.2438, 1.6764, 0.12281, 0.0097711, 0.79308, 0.0055647, 0.25203, 0
22, Multiplicative, 886.0475, 5.0032, 0, 0.083346, 0, 0.23806, 0.0014797, 1.4569, 0.67159, 0.19832, 0.80167, 0.49784, 0.90377, 0.81253, 0.13764, 0.57324, 0.50945, 0.088792, 0.25408, 0
23, Multiplicative, 2001.3302, 1.5214, 0, 0.384, 0, 0.25738, 0.0054798, 1.9529, 1.6746, 0.27489, 0.60965, 0.69031, 0.034276, 1.4626, 4.4093e-05, 0.10656, 0.00043382, 0.14091, 0.11299, 0
24, Multiplicative, 1218.7487, 4.9956, 0, 0.17846, 0, 0.36731, 0.0041105, 2.5999, 1.0643, 1.7158e-05, 0.69519, 0.56334, 0.23256, 1.1584, 0.02537, 0.48102, 0.49019, 0.085887, 0.24161, 0
25, Multiplicative, 1379.5782, 5.0036, 0, 0.13947, 0, 0.020019, 0.0022129, 1.8325, 1.1459, 0.32991, 0.5693, 0.54159, 0.72872, 0.15554, 0.018204, 0.80382, 0.87151, 0.15042, 0.25396, 0
26, Multiplicative, 1792.9374, 1.4809, 0, 0.054622, 0, 0.031554, 0.0020082, 4.0048, 1.702, 9.3154e-06, 0.27793, 0.47439, 1.4074, 0.63483, 0.0030762, 0.62427, 0.00027975, 0.068654, 0.16049, 0
27, Multiplicative, 957.8165, 4.4829, 0, 0.18979, 0, 0.10296, 0.004099, 1.7196, 0.99512, 1.2899e-05, 0.55243, 0.89933, 0.91798, 1.0637, 0.068479, 0.27836, 0.21213, 0.046855, 0.25876, 0
28, Multiplicative, 1204.1166, 5.0009, 0, 0.015495, 0, 0.18531, 0.0025692, 2.2122, 0.92231, 0.035765, 0.80748, 0.77022, 0.73081, 0.87617, 0.18387, 0.35249, 0.48644, 0.092631, 0.22277, 0
29, Multiplicative, 1408.834, 3.6074, 0, 0.08228, 0, 0.069193, 0.0010617, 1.4424, 1.0358, 0.20044, 0.79954, 0.49918, 0.29306, 0.44089, 0.10893, 0.2818, 0.77621, 0.043924, 0.25102, 0
30, Multiplicative, 1320.2742, 4.9927, 0, 0.078619, 0, 0.52481, 0.0021909, 1.4312, 0.98612, 0.022755, 0.83448, 0.9009, 1.0075, 1.2391, 0.068828, 0.72425, 0.52785, 0.093223, 0.25558, 0
31, Multiplicative, 210.6853, 5.0108, 0, 0.11649, 0, 0.097769, 0.003133, 1.5968, 1.0795, 0.0020511, 0.21746, 0.5007, 1.451, 0.43005, 0.12891, 0.30274, 0.48831, 0.17868, 0.20403, 0
32, Multiplicative, 1436.1569, 4.0707, 0, 0.049624, 0, 0.098964, 0.0083955, 2.3564, 1.1203, 0.11834, 0.72559, 0.79973, 0.3938, 0.98277, 0.22023, 0.18946, 0.62607, 0.12641, 0.19621, 0
33, Multiplicative, 1857.4227, 1.1322, 0, 0.025662, 0, 0.031397, 0.028423, 3.1835, 1.0755, 0.024288, 0.77904, 0.90499, 0.47694, 1.5712, 0.29037, 0.007941, 0.28848, 8.147e-06, 0.24711, 0
34, Multiplicative, 1779.6955, 1.2892, 0, 0.042409, 0, 0.688, 1.2872e-06, 2.2835, 0.69879, 0.25346, 0.026704, 0.59915, 0.62941, 0.5694, 0.14421, 0.14234, 0.39625, 0.13629, 0.27853, 0
35, Multiplicative, 2233.7308, 1.0656, 0, 0.061014, 0, 0.67147, 0.01079, 3.0324, 1.5122, 0.10085, 0.09664, 0.52702, 0.69337, 0.0065555, 0.0014698, 0.65922, 0.33662, 0.088439, 0.16143, 0
36, Multiplicative, 832.1029, 5.0005, 0, 0.030142, 0, 0.36922, 0.012574, 1.4818, 0.82812, 0.044556, 0.61974, 0.49664, 0.34474, 1.0186, 0.26209, 0.45439, 0.0033157, 0.10664, 0.24641, 0
