participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st, iota
1, Semantic, 213.1022, 5.0176, 0, 0.47975, 0, 0.023216, 0.016461, 2.6308, 1.5833, 0.020354, 0.050836, 0.86173, 0.0096959, 0.8882, 0.1512, 0.50356, 0.080675, 1, 7.4624e-06, 0, 0
2, Semantic, 1517.1567, 2.0177, 0, 0.064138, 0, 0.17374, 2.2031e-06, 1.4337, 0.88853, 0.081111, 0.57174, 0.56926, 0.66621, 0.73237, 0.4772, 0.42492, 0.0062103, 1, 0.25819, 0, 0
3, Semantic, 1201.1069, 5.0002, 0, 0.25223, 0, 0.41625, 0.0030087, 2.3183, 1.133, 1.4842e-05, 0.64489, 0.28159, 0.61462, 0.46896, 0.28433, 0.32911, 0.20572, 1, 0.26069, 0, 0
4, Semantic, 1184.2557, 3.0505, 0, 0.048467, 0, 0.19239, 0.013661, 1.4244, 0.75078, 0.062558, 0.35252, 0.72189, 1.0387, 0.89456, 0.49106, 0.00019228, 0.14551, 1, 0.2595, 0, 0
5, Semantic, 1200.0519, 3.1585, 0, 0.32006, 0, 0.48233, 0.0053346, 1.7884, 1.0986, 6.2716e-07, 0.52192, 0.016157, 0.30421, 0.77938, 0.53124, 0.16636, 0.2148, 1, 0.25123, 0, 0
6, Semantic, 1262.3375, 2.3477, 0, 0.13349, 0, 0.05831, 0.0054803, 3.3113, 1.1193, 0.049255, 0.0031893, 8.5023e-10, 0.85154, 0.54871, 0.71065, 0.65087, 0.12865, 1, 0.14987, 0, 0
7, Semantic, 1260.487, 4.573, 0, 0.030544, 0, 6.6831e-05, 0.0054827, 1.5311, 0.87592, 0.075089, 0.5973, 0.73454, 0.73369, 0.6791, 0.35308, 0.18609, 0.14206, 1, 0.29295, 0, 0
8, Semantic, 759.9199, 5.0019, 0, 0.044336, 0, 0.55967, 0.00015876, 1.6793, 1.0243, 0.02191, 0.37562, 8.3895e-06, 0.0093788, 0.13548, 1.2687, 0.67415, 0.0088596, 1, 0.16496, 0, 0
9, Semantic, 1519.095, 3.4276, 0, 0.14169, 0, 0.15716, 0.0061541, 2.6297, 1.7155, 1.2155e-05, 0.47927, 0.33966, 1.462, 0.11338, 0.33845, 0.62959, 0.0016951, 1, 0.12062, 0, 0
10, Semantic, 1343.7285, 3.1825, 0, 0.24377, 0, 0.068422, 0.0074391, 1.4142, 1.0566, 0.03286, 0.68344, 0.84446, 0.012154, 0.28556, 0.3849, 0.20355, 0.13127, 1, 0.20298, 0, 0
11, Semantic, 1160.6097, 3.7524, 0, 0.45566, 0, 0.19651, 0.02556, 1.7564, 1.0005, 0.063766, 0.29936, 0.71974, 2.568, 0.70564, 0.89102, 0.24811, 0.33881, 1, 0.19431, 0, 0
12, Semantic, 1341.7408, 2.0441, 0, 0.042654, 0, 0.12498, 0.013916, 1.5515, 0.81021, 0.024708, 0.6106, 0.50381, 0.98536, 1.0982, 0.28718, 0.18553, 0.013869, 1, 0.28023, 0, 0
13, Semantic, 1823.5729, 2.9284, 0, 0.081984, 0, 0.10025, 0.018423, 1.6345, 0.88133, 0.12896, 0.33003, 0.50195, 0.96388, 0.89327, 0.87284, 0.41648, 0.096944, 1, 0.25925, 0, 0
14, Semantic, 1230.7528, 1.1463, 0, 0.085777, 0, 0.27853, 0.0044458, 1.0457, 0.89022, 0.18583, 0.80327, 0.18094, 0.35016, 0.22859, 0.56451, 0.4294, 0.37793, 1, 0.26033, 0, 0
15, Semantic, 1088.5183, 4.1995, 0, 0.088465, 0, 0.78317, 0.021018, 1.37, 0.72346, 0.060532, 0.71535, 0.45618, 0.011916, 0.94881, 0.87212, 0.90034, 0.018743, 1, 0.26143, 0, 0
16, Semantic, 1493.3371, 3.2462, 0, 0.25055, 0, 0.10775, 0.024984, 1.7886, 1.1214, 0.056069, 0.31696, 0.42583, 0.46954, 0.83912, 0.45284, 0.069, 0.0010866, 1, 0.13893, 0, 0
17, Semantic, 882.315, 4.9916, 0, 0.046866, 0, 0.0013851, 0.0025868, 1.9506, 0.91048, 1.8532e-06, 0.56399, 0.037, 1.1251, 0.58599, 1.1398, 0.81777, 0.0065389, 1, 0.2721, 0, 0
18, Semantic, 1318.5021, 1.6297, 0, 0.10394, 0, 0.059277, 0.0099335, 2.7387, 1.1381, 0.0028114, 0.047742, 3.5941e-06, 0.16071, 1.5833, 0.47828, 0.62329, 0.070031, 1, 0.00026046, 0, 0
19, Semantic, 1547.8962, 3.0837, 0, 0.32861, 0, 0.068159, 0.015538, 1.9511, 1.0279, 0.050968, 0.3275, 0.3706, 2.0309, 0.011311, 0.10929, 0.33713, 0.0060171, 1, 0.27419, 0, 0
20, Semantic, 1742.6446, 1.8812, 0, 0.12099, 0, 7.6264e-06, 0.021852, 2.305, 1.6303, 0.047834, 0.31516, 8.1191e-05, 1.3445, 0.69356, 0.096563, 0.42304, 1.6295e-05, 1, 0.29476, 0, 0
21, Semantic, 1106.5798, 4.6196, 0, 0.074823, 0, 0.082297, 0.02242, 1.5785, 0.88836, 0.008438, 0.76484, 0.69962, 1.4369, 0.42492, 0.83866, 0.16417, 8.0095e-06, 1, 0.25144, 0, 0
22, Semantic, 858.8372, 5.0009, 0, 0.025175, 0, 0.13814, 0.01445, 1.4504, 0.64665, 0.10723, 0.80821, 0.10247, 0.81787, 0.43189, 0.60474, 0.20737, 0.051287, 1, 0.25979, 0, 0
23, Semantic, 1985.1183, 2.7249, 0, 0.0099063, 0, 0.14816, 0.00073756, 2.7517, 1.7452, 0.011358, 0.73107, 0.04719, 0.81624, 0.14301, 0.89349, 0.26603, 6.6258e-06, 1, 0.051295, 0, 0
24, Semantic, 1216.754, 4.8897, 0, 0.27634, 0, 5.4627e-05, 0.0051058, 2.5318, 1.0542, 2.3071e-06, 0.69421, 0.032541, 0.022971, 0.24343, 0.063125, 0.55728, 0.31387, 1, 0.24648, 0, 0
25, Semantic, 1386.7461, 5.004, 0, 0.0041694, 0, 0.092654, 0.013214, 1.8242, 1.1511, 0.039241, 0.57499, 0.64059, 0.25606, 0.14928, 1.1358, 0.055161, 0.0098177, 1, 0.25405, 0, 0
26, Semantic, 1790.6895, 1.4827, 0, 0.045327, 0, 0.12488, 0.015974, 4.011, 1.7922, 0.00029808, 0.28072, 0.016342, 1.3715, 0.93209, 1.5059, 0.097354, 0.10987, 1, 0.070238, 0, 0
27, Semantic, 955.8841, 4.5469, 0, 0.13436, 0, 0.3865, 0.0065203, 1.7126, 0.98139, 7.7867e-07, 0.55037, 0.17879, 0.42037, 0.87556, 0.30015, 0.23281, 0.026412, 1, 0.26562, 0, 0
28, Semantic, 1190.7955, 4.999, 0, 0.17855, 0, 0.048673, 0.0061193, 2.1662, 0.87146, 0.047437, 0.79367, 0.00012127, 0.66148, 0.5797, 0.66865, 0.1454, 0.22205, 1, 0.23493, 0, 0
29, Semantic, 1403.5665, 3.1079, 0, 0.019644, 0, 0.40257, 0.016698, 1.3045, 0.92412, 0.098824, 0.6081, 0.34015, 0.92947, 0.68448, 0.43346, 0.12379, 0.015359, 1, 0.26808, 0, 0
30, Semantic, 1292.9631, 5.0018, 0, 0.25279, 0, 0.077277, 0.0043344, 1.3751, 0.84588, 0.18088, 0.75903, 0.8997, 0.41688, 0.98602, 0.32719, 0.013147, 0.17091, 1, 0.28112, 0, 0
31, Semantic, 208.5578, 5.0093, 0, 0.11574, 0, 0.00069067, 0.026272, 1.5672, 1.0709, 8.2868e-06, 0.22008, 0.17544, 2.1286, 0.044787, 0.81812, 0.33213, 0.13155, 1, 0.20873, 0, 0
32, Semantic, 1429.816, 3.7985, 0, 0.0094492, 0, 0.14241, 0.0015641, 2.1845, 1.0587, 0.029849, 0.68692, 0.58367, 0.67695, 0.81703, 1.3808, 0.1599, 0.23973, 1, 0.21331, 0, 0
33, Semantic, 1849.1445, 3.8444, 0, 0.40143, 0, 0.026131, 0.045544, 2.0219, 1.3268, 0.12044, 0.48525, 0.45022, 1.115, 2.5153, 1.5034, 0.90363, 0.029489, 1, 0.13992, 0, 0
34, Semantic, 1642.3844, 2.7278, 0, 0.010585, 0, 0.00083678, 0.042082, 3.8985, 1.8482, 0.0024206, 0.44802, 5.1782e-05, 0.3896, 1.3427, 0.4286, 0.093287, 0.0049726, 1, 0.081845, 0, 0
35, Semantic, 2177.2961, 1.084, 0, 0.030084, 0, 0.21687, 0.039536, 2.4248, 1.3323, 0.069917, 1.4345e-05, 0.53804, 0.7638, 0.53753, 0.66474, 0.28282, 0.036827, 1, 0.20793, 0, 0
36, Semantic, 830.1766, 4.9044, 0, 0.18551, 0, 0.034983, 4.426e-05, 1.4385, 0.81685, 0.011865, 0.5886, 0.04301, 0.82134, 1.2816, 0.17884, 0.00011677, 0.033852, 1, 0.24902, 0, 0
