"","Pure.Guess","Pure.Intrusion","Intrusion...Guess","Temporal","Spatiotemporal","Orthographic","Semantic","Multiplicative"
"1",2454.3094,2148.9764,2289.4907,2333.3824,2125.666,2346.9253,2153.3198,2136.8952
"2",2551.839,2156.8688,2259.1529,2053.411,2032.3833,2273.5559,2171.1232,2425.6444
"3",3492.7429,3388.7957,3493.9851,3330.0429,3291.5732,3242.5308,3298.8932,3346.6347
"4",3307.2142,2949.6248,3424.8335,3265.9031,2891.9239,3068.5602,3096.4089,3011.7365
"5",4613.5122,4455.2602,4259.647,4468.5827,4100.9572,4069.3334,4253.5313,4218.7168
"6",4.30931701057873e-72,8.64225278408794e-06,2.65665039042503e-36,7.82299135392709e-46,0.996359372975304,8.96539607720901e-49,9.85075774569885e-07,0.00363099969613708
"7",1.59080209452201e-113,9.29619750857625e-28,5.7226242913487e-50,2.71569609102041e-05,0.99997284303909,4.26602624155065e-53,7.46451698902893e-31,4.02184535227785e-86
"8",4.64657372490053e-55,1.73372621855621e-32,2.49685044254885e-55,9.93090746274489e-20,2.24170339912342e-11,0.999999999977006,5.7684661246663e-13,2.47813717505543e-23
"9",6.61998737242088e-91,2.95398825732086e-13,1.90612195373974e-116,6.18655027689654e-82,0.999999999999705,4.40468446960701e-39,3.9504487684746e-45,9.61666480634997e-27
"10",6.80886834221563e-119,1.57420073821964e-84,4.71983466284255e-42,2.01426216002778e-87,1.35824783859691e-07,0.999999864175216,1.00446351588092e-40,3.64591707895195e-33
