,ï...Intrusion...Guess,Temporal,Spatiotemporal,Orthographic,Semantic,Additive,Multiplicative
1,2022.1269,2093.528,2021.5296,2540.2563,2449.8721,2062.8756,2172.829
2,2015.5047,2023.4395,1912.1009,2007.956,2115.2802,2013.8646,2063.1091
3,3288.6673,3277.0472,3216.3187,3243.3385,3414.6564,3271.0887,3243.1932
4,2990.8722,2951.7473,2790.4642,2949.6941,2849.3101,2873.3714,3286.7357
5,4169.5631,4284.0258,4104.4352,4398.1333,4256.5607,4145.4203,4324.2113
6,0.42589,0.00000,0.57411,0.00000,0.00000,0.00000,0.00000
7,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
8,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
9,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
10,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
