,Pure.Guess,Pure.Intrusion,Intrusion...Guess,Temporal,Spatiotemporal,Orthographic,Semantic,Multiplicative
1,2454.31,2148.98,2289.49,2333.38,2125.67,2346.93,2153.32,2136.90
2,2551.84,2156.87,2259.15,2053.41,2032.38,2273.56,2171.12,2425.64
3,3492.74,3388.80,3493.99,3330.04,3240.03,3242.53,3298.89,3346.63
4,3307.21,2949.62,3424.83,3265.90,2891.92,3068.56,3096.41,3011.74
5,4613.51,4455.26,4259.65,4468.58,4053.70,4069.33,4253.53,4218.72
6,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
7,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.78,0.22,0.00,0.00
9,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
10,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
