participant, model_name, ll, AIC, v1t_1, v2t_1,  v1i_1,  v2i_1,       eta1_t, eta2_t, eta1_i, eta2_i,     at,  ag,    beta,    gamma,      tau,  l_b,   l_f,       zeta,  rho,     chi,        psi1,       iota,  upsilon,       Ter,    st
1, flat intrusion,152.1606,326.3212,6.9212,0,1.3972,0,0.58104,0.1046,0.50983,0.010011,2.5597,0.73293,0.050548,0.050125,0.5,0,0,0,0,0,0,0,0,0.10049,0
2, flat intrusion,748.7275,1519.4549,1.3728,0,0.4979,0,0.10284,0.090938,0.90108,0.13508,1.237,0.83129,0.21203,0.07401,0.5,0,0,0,0,0,0,0,0,0.24249,0
3, flat intrusion,10000001.71,0,1.0034,0,4.1497,0,0.63067,0.0099369,0.009907,0.064909,0.10011,0.15688,0.53535,0.0086596,0.5,0,0,0,0,0,0,0,0,0.27227,0
4, flat intrusion,584.9842,1191.9683,3.5804,0,0.82715,0,0.81351,0.089467,0.23873,0.20382,1.4733,0.71265,0.33309,0.050027,0.5,0,0,0,0,0,0,0,0,0.26565,0
5, flat intrusion,10000000,0,3.8697,0,1.5091,0,0.12252,0.098937,0.39322,0.031195,1.6275,0.263,0.20975,0.12944,0.5,0,0,0,0,0,0,0,0,0.27389,0
6, flat intrusion,696.7582,1415.5164,2.5012,0,0.49441,0,0.21357,0.092306,0.7179,0.072203,3.0298,0.7057,0.050001,0.050003,0.5,0,0,0,0,0,0,0,0,0.21176,0
7, flat intrusion,614.0827,1250.1654,4.6162,0,0.4988,0,0.7327,0.12181,0.04981,0.06853,1.4223,0.73449,0.50242,0.055485,0.5,0,0,0,0,0,0,0,0,0.32653,0
8, flat intrusion,376.9034,775.8068,5.1215,0,2.2886,0,0.28267,0.035649,0.91333,0.18774,1.573,0.8144,0.11641,0.050001,0.5,0,0,0,0,0,0,0,0,0.17749,0
9, flat intrusion,753.8519,1529.7037,3.0453,0,0.4969,0,0.47579,0.1677,0.67469,0.03918,1.9529,0.92576,0.088408,0.050018,0.5,0,0,0,0,0,0,0,0,0.25462,0
10, flat intrusion,10000000,0,3.8809,0,1.4698,0,0.49891,0.14389,0.45293,0.11184,1.7922,0.61222,0.17088,0.12283,0.5,0,0,0,0,0,0,0,0,0.22275,0
11, flat intrusion,580.1479,1182.2957,3.7469,0,0.91275,0,0.46207,0.093189,0.66667,0.12471,1.603,0.89084,0.17699,0.05,0.5,0,0,0,0,0,0,0,0,0.211,0
12, flat intrusion,663.5773,1349.1545,2.5678,0,1.3034,0,0.49738,0.07347,0.53519,0.12367,1.6079,0.74665,0.55591,0.050004,0.5,0,0,0,0,0,0,0,0,0.29587,0
13, flat intrusion,10000000,0,4.1798,0,1.4502,0,0.51718,0.13376,0.32645,0.077025,1.6682,0.53626,0.27085,0.17462,0.5,0,0,0,0,0,0,0,0,0.2774,0
14, flat intrusion,576.6318,1175.2635,1.0974,0,2.9287,0,0.044835,0.14355,0.35693,0.084116,1.454,0.83357,0.39466,0.10445,0.5,0,0,0,0,0,0,0,0,0.2508,0
15, flat intrusion,4699.8685,9421.7369,1.0015,0,4.1881,0,0.45346,0.010002,0.031383,0.13539,0.10004,0.26762,0.4313,0.05,0.5,0,0,0,0,0,0,0,0,0.20087,0
16, flat intrusion,735.053,1492.1059,4.2432,0,0.49879,0,0.36257,0.062287,0.54004,0.07957,1.7826,0.71475,0.32906,0.057927,0.5,0,0,0,0,0,0,0,0,0.26092,0
17, flat intrusion,435.8382,893.6764,4.2104,0,2.4809,0,0.048779,0.23934,0.44239,0.17983,1.5352,0.70182,0.24296,0.050059,0.5,0,0,0,0,0,0,0,0,0.29394,0
18, flat intrusion,2920.7123,5863.4247,1.6323,0,1.999,0,0.36968,0.058738,0.010001,0.28533,0.79081,0.12164,0.051618,0.05003,0.5,0,0,0,0,0,0,0,0,0.14556,0
19, flat intrusion,10000000,0,3.8844,0,1.4023,0,0.52468,0.20632,0.38443,0.096962,1.587,0.55109,0.23482,0.19485,0.5,0,0,0,0,0,0,0,0,0.2067,0
20, flat intrusion,863.1958,1748.3916,2.675,0,1.4629,0,0.1797,0.34908,0.041345,0.058848,2.7835,0.68367,0.050001,0.060526,0.5,0,0,0,0,0,0,0,0,0.23593,0
21, flat intrusion,522.5763,1067.1526,4.7959,0,3.8651,0,0.27938,0.116,0.051199,0.049361,1.7064,0.95221,0.40523,0.071784,0.5,0,0,0,0,0,0,0,0,0.21967,0
22, flat intrusion,420.3856,862.7713,3.4955,0,3.4486,0,0.45446,0.65192,0.28946,0.049559,0.94638,1.3814,0.12149,0.088538,0.5,0,0,0,0,0,0,0,0,0.22376,0
23, flat intrusion,10000000,0,3.952,0,1.4895,0,0.60707,0.077565,0.46548,0.063974,1.6459,0.39225,0.44205,0.12073,0.5,0,0,0,0,0,0,0,0,0.2247,0
24, flat intrusion,580.506,1183.0121,4.1724,0,4.7373,0,0.33974,0.13444,0.056236,0.048169,2.4633,1.1599,0.40674,0.054111,0.5,0,0,0,0,0,0,0,0,0.19177,0
25, flat intrusion,674.1526,1370.3052,6.8283,0,0.49821,0,0.048645,0.049494,0.90256,0.069425,1.8458,0.87056,0.42669,0.057821,0.5,0,0,0,0,0,0,0,0,0.31718,0
26, flat intrusion,1034.7883,2091.5767,1.8261,0,0.94683,0,0.90287,0.010001,0.033126,0.17702,3.0302,0.96781,0.20522,0.072815,0.5,0,0,0,0,0,0,0,0,0.44104,0
27, flat intrusion,475.5351,973.0703,3.9389,0,1.6718,0,0.37227,0.041013,0.83652,0.13823,1.415,0.81132,0.3004,0.05,0.5,0,0,0,0,0,0,0,0,0.28804,0
28, flat intrusion,10000000,0,4.1131,0,1.4835,0,0.35637,0.1501,0.6204,0.041881,1.7285,0.37169,0.19979,0.14601,0.5,0,0,0,0,0,0,0,0,0.17401,0
29, flat intrusion,692.0347,1406.0694,2.1748,0,0.49732,0,0.52231,0.041019,0.57195,0.033062,1.1843,0.65512,0.36883,0.077839,0.5,0,0,0,0,0,0,0,0,0.33194,0
30, flat intrusion,10000000,0,5.3272,0,2.6099,0,0.69663,0.11383,0.36379,0.013242,2.1337,0.65866,0.2883,0.18036,0.5,0,0,0,0,0,0,0,0,0.35029,0
31, flat intrusion,10000000,0,4.0631,0,1.5176,0,0.62702,0.085075,0.6022,0.051152,1.7105,0.42191,0.13431,0.11472,0.5,0,0,0,0,0,0,0,0,0.35754,0
32, flat intrusion,700.8482,1423.6964,3.6659,0,1.7632,0,0.84236,0.067815,0.90274,0.058583,2.0084,0.89136,0.47771,0.052085,0.5,0,0,0,0,0,0,0,0,0.24258,0
33, flat intrusion,10000000.36,0,1,0,2.8747,0,0.72024,0.012017,0.01007,0.019997,0.10266,0.10006,0.40901,0.031104,0.5,0,0,0,0,0,0,0,0,0.15479,0
34, flat intrusion,811.0885,1644.1769,2.5836,0,1.5586,0,0.50584,0.12872,0.432,0.099618,2.7171,0.73022,0.063992,0.050002,0.5,0,0,0,0,0,0,0,0,0.41503,0
35, flat intrusion,1058.9055,2139.811,1.1684,0,1.0151,0,0.095956,0.044476,0.037673,0.010029,2.7791,1.2362,0.080302,0.063323,0.5,0,0,0,0,0,0,0,0,0.30353,0
36, flat intrusion,412.9355,847.871,4.069,0,1.3278,0,0.46041,0.15578,0.90019,0.076415,1.1477,0.6947,0.33697,0.050005,0.5,0,0,0,0,0,0,0,0,0.26502,0
,,,,3.40,0.00,1.77,0.00,0.44,0.12,0.42,0.09,1.67,0.69,0.27,0.08,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00
