participant, model_name, ll, AIC, v1t_1, v2t_1,  v1i_1,  v2i_1,       eta1_t, eta2_t, eta1_i, eta2_i,     at,  ag,    beta,    gamma,      tau,  l_b,   l_f,       zeta,  rho,     chi,        psi1,       iota,  upsilon,       Ter,    st
1, temporal,110.2923,248.5847,7.4705,0,1.2537,0,0.37619,0.055573,0.55854,0.050692,2.7182,1.203,0.10609,0.050001,0.76548,0.39449,0.54884,0,0,0,0,0,0,0.10002,0
2, temporal,743.0808,1514.1617,2.0378,0,0.50093,0,0.1851,0.056595,0.25408,0.20482,1.4693,0.84492,0.55022,0.080653,0.55214,0.56442,0.43901,0,0,0,0,0,0,0.26814,0
3, temporal,594.2078,1216.4157,3.8668,0,1.9351,0,0.045597,0.045701,0.89784,0.010007,1.7751,0.99295,0.37092,0.069282,0.67787,0.68316,0.90584,0,0,0,0,0,0,0.28389,0
4, temporal,577.8166,1183.6332,3.1634,0,1.0386,0,0.83291,0.20615,0.047377,0.011634,1.4843,0.71838,0.32342,0.056608,0.75606,0.49723,1.2432,0,0,0,0,0,0,0.26169,0
5, temporal,599.8934,1227.7867,3.0548,0,1.5768,0,0.7396,0.10604,0.52505,0.041847,1.3721,0.64991,0.23633,0.066145,0.55057,0.83823,0.80363,0,0,0,0,0,0,0.3758,0
6, temporal,658.8421,1345.6842,2.4692,0,0.48738,0,0.093956,0.20434,0.038063,0.52459,3.0052,0.80091,0.05,0.060691,0.29381,0.38909,1.2267,0,0,0,0,0,0,0.21872,0
7, temporal,613.8008,1255.6016,4.2102,0,0.49724,0,0.5664,0.020692,0.22657,0.13717,1.4013,0.73763,0.49477,0.073279,0.56778,1.0956,0.67822,0,0,0,0,0,0,0.32514,0
8, temporal,369.4334,766.8668,4.969,0,1.2806,0,0.63525,0.18239,0.27201,0.12691,1.5483,0.89416,0.24315,0.051618,0.24726,0.9872,0.46257,0,0,0,0,0,0,0.18382,0
9, temporal,741.9486,1511.8972,3.6452,0,0.93434,0,0.80006,0.038206,0.12249,0.053755,2.5389,1.4145,0.29357,0.050032,0.69659,0.58269,1.2518,0,0,0,0,0,0,0.18648,0
10, temporal,652.5466,1333.0933,2.8563,0,1.381,0,0.90287,0.070901,0.90109,0.15287,1.3625,0.94106,0.27575,0.079709,0.44688,0.42845,0.44217,0,0,0,0,0,0,0.20527,0
11, temporal,567.2179,1162.4357,3.9977,0,0.91195,0,0.90089,0.033358,0.82727,0.010009,1.8395,0.98551,0.279,0.050524,0.75298,0.463,0.60458,0,0,0,0,0,0,0.19472,0
12, temporal,655.9579,1339.9158,2.2215,0,0.52413,0,0.59712,0.045129,0.6464,0.17479,1.523,0.77996,0.55325,0.058804,0.24479,0.96671,0.40183,0,0,0,0,0,0,0.28592,0
13, temporal,891.5832,1811.1663,2.211,0,0.72457,0,0.16635,0.014914,0.86801,0.097123,2.0142,0.71412,0.47118,0.086852,0.50109,0.73297,0.78019,0,0,0,0,0,0,0.36345,0
14, temporal,584.8715,1197.7431,1.0935,0,2.1725,0,0.47829,0.29337,0.046058,0.036957,1.1783,0.69066,0.11688,0.10717,0.49737,0.49919,0.39192,0,0,0,0,0,0,0.25918,0
15, temporal,532.7709,1093.5418,3.7024,0,0.49944,0,0.18628,0.12523,0.90097,0.050162,1.1902,0.69153,0.55925,0.091804,0.34664,1.0124,0.40029,0,0,0,0,0,0,0.26227,0
16, temporal,726.9053,1481.8106,4.0105,0,0.49769,0,0.90904,0.016007,0.64878,0.04766,1.8433,0.71861,0.33928,0.091404,0.28585,1.1804,0.48308,0,0,0,0,0,0,0.2596,0
17, temporal,435.3373,898.6745,3.87,0,1.2429,0,0.40927,0.047088,0.88803,0.013484,1.3934,0.69569,0.28148,0.058645,0.76079,0.98214,0.40005,0,0,0,0,0,0,0.30822,0
18, temporal,697.7234,1423.4469,2.5891,0,0.49669,0,0.92302,0.11407,0.36387,0.12721,3.0105,0.76661,0.097377,0.050002,0.79999,0.45919,0.79251,0,0,0,0,0,0,0.18046,0
19, temporal,747.5601,1523.1203,3.8273,0,1.0486,0,0.9064,0.042933,0.89329,0.047338,2.1929,0.89598,0.28591,0.058962,0.43873,0.80899,0.39533,0,0,0,0,0,0,0.30089,0
