"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho"
"result.1",1,-71.1416525968071,-124.283305193614,49.99836780244,28.4177151458777,0.0210689912636623,0.581940607267616,0.0119212581425051,0.00683446690665451,0.0366427372945842,0.00357506711913426,0.452584200303066
"result.2",2,640.234520871493,1298.46904174299,3.69079067201384,0.683197360118604,0.635876928312904,0.0145822790260282,4.01399615007683,2.93786671259355,0.513946005846882,0.702291065299069,0.624527361064582
"result.3",3,558.986089233652,1135.9721784673,13.1807155037096,10.2878914014596,0.20653376613589,0.956181475890816,0.955760790929983,3.83559105147202,0.51999876931842,0.587714819301928,0.119645398468515
"result.4",4,547.450057748168,1112.90011549634,12.6333232008076,4.51112401002836,0.137505096907725,0.388822636104922,2.20129701040574,0.237011616487398,0.391662746616319,0.946571551445976,0.912181100651832
"result.5",5,533.515612452284,1085.03122490457,17.3748967471472,17.2769058469202,0.127868725575702,0.947360389892131,0.0509353008517999,0.670640045363154,0.368011146736735,0.533216415864156,0.782361357040301
"result.6",6,151.937019200508,321.874038401016,18.8420450788689,0.101249736917524,0.084587009697312,2.95879377657134e-06,0.0284819286402182,4.99153462197671,0.000657715679069572,0.995664944538523,0.754746340265055
"result.7",7,588.844266901409,1195.68853380282,9.03735413030971,5.50899335157261,0.0811377011933375,0.242301724117695,1.94333469028914,0.0112642490516403,0.427160529876978,0.0397971323232442,0.903849785103447
"result.8",8,422.4555510612,862.911102122399,24.5029595910616,5.98978924957849,0.12865224152084,0.987546636998827,0.588224093179572,1.72164795190127,0.221761462824484,0.870013142357704,0.901142869497591
"result.9",9,488.814533433538,995.629066867076,12.3989861258057,6.93160737080554,0.206351210507886,0.091616634485318,3.44349038814742,0.7728407980242,0.3130710209262,0.977386375615962,0.600815230089812
"result.10",10,577.938855559946,1173.87771111989,22.3231970317968,7.64852930222232,0.317862940401939,0.32130781715132,0.204755748753413,0.000922286852193626,0.309248204579143,0.362405602527538,0.56203422453822
"result.11",11,461.135499216914,940.270998433827,13.7111443515667,1.84114155452,0.183918251411508,0.468679571537271,0.916708986122396,0.371706277386473,0.129727218881447,0.870352923171595,0.689087058436235
