,participant,nLL,aic,prec1,prec2,gamma,kappa,lambda_b,lambda_f,beta,zeta,rho,chi,psi
result.1,1,-64.05557892,-106.1111578,39.99989171,37.28826389,0.061032122,0.559856778,0.006653192,0.039134712,0.037429196,0.090320817,0.030955551,0.162238673,0.020938292
result.2,2,640.179105,1302.35821,2.887653341,0.50239863,0.5771055,0.550907076,2.379947738,3.266284658,0.394431777,0.801259571,0.490334365,0.010941125,0.336261168
result.3,3,558.2313838,1138.462768,12.76963149,1.409102254,0.365286853,0.547120554,2.607989153,1.256287009,0.401122228,0.397418529,0.188993117,0.352006644,0.418315041
result.4,4,547.4694825,1116.938965,11.99372901,3.502147019,0.272220345,0.287661284,0.510915665,0.044262286,0.302346444,0.994621076,0.60432995,0.097337021,0.195594918
result.5,5,530.9158667,1083.831733,11.61898347,39.3949233,0.107514443,0.774867917,0.006501304,0.276227361,0.355824736,0.069703294,0.633276219,0.001847331,0.261468038
result.6,6,152.563954,327.127908,18.67246632,0.118390406,0.091225218,0.004399625,0.086672275,4.717461219,0.000355636,0.94679844,0.650652329,0.009700226,0.166346965
result.7,7,588.7269388,1199.453878,8.795707392,5.149859814,0.386214772,0.419490491,0.372805951,0.002489826,0.419638186,0.086000277,0.320461286,0.160442055,0.002459402
result.8,8,422.3443186,866.6886372,23.50529006,6.950797443,0.197879895,0.916318639,0.20784189,0.773012673,0.204797657,0.97925368,0.725325872,0.150149771,0.108147446
result.9,9,488.7667101,999.5334202,12.38812064,7.500254661,0.208787202,0.09810534,3.908344425,0.952290633,0.310518924,0.967457045,0.67329375,0.125078892,0.007841634
result.10,10,578.1309969,1178.261994,22.26805825,9.131946195,0.316543287,0.278939453,0.262792185,0.002287487,0.326021038,0.369095607,0.563244928,0.062014376,0.214089598
result.11,11,460.2256539,942.4513077,13.61760891,1.771696202,0.240711833,0.508605943,0.59922786,0.304089095,0.065364204,0.83518224,0.668491631,0.260201499,0.050580199
result.12,12,615.4897439,1252.979488,12.20840109,22.60442902,0.138002856,0.177585396,0.393893021,0.006044015,0.643112378,0.991244349,0.896121512,0.036938409,0.05670029
result.13,13,615.9038532,1253.807706,4.151166084,0.130842183,0.432966764,0.738556147,1.14325808,1.671847067,0.333359442,0.549917013,0.51089422,0.128204667,0.259668516
result.14,14,636.3106438,1294.621288,0.103942259,13.43007437,0.556620596,0.968015966,0.003356376,1.285993517,0.482384204,0.993508016,0.474944773,0.225985511,0.064222694
result.15,15,620.9087661,1263.817532,4.562117013,7.941516113,0.48118445,0.638495393,4.884927671,4.917085037,0.643973898,0.385948798,0.005777765,0.272258775,0.000308035
result.16,16,489.6189558,1001.237912,14.28474616,8.496047443,0.299720698,0.767037469,0.209189849,1.117301962,0.300326349,0.804582003,0.343657363,0.021313801,0.404213239
result.17,17,519.0791401,1060.15828,12.45556874,10.74928161,0.448968765,0.987002973,3.737827113,0.05450457,0.37601379,0.704705013,0.001780089,0.294408431,0.697155846
result.18,18,162.8518155,347.7036309,11.69100395,1.479881412,0.047712136,0.159792847,0.007452701,4.885534734,0.029223737,0.994486253,0.182236138,0.806473434,0.004094735
result.19,19,496.2432586,1014.486517,37.61028023,12.07346881,0.18731212,0.304508656,0.670147695,0.222151243,0.3028611,0.92663243,0.824150453,0.120409193,0.010395306
result.20,20,500.5012562,1023.002512,24.36923201,12.46491195,0.364713962,0.514277719,0.340964757,0.746860298,0.307229164,0.981108915,0.429263875,0.213008197,0.335340018
result.21,21,620.5135687,1263.027137,9.153471839,9.741391706,0.269652548,0.590525181,0.56811039,0.624861491,0.450006315,6.34E-05,0.511010707,0.000722312,0.220019705
result.22,22,554.4163216,1130.832643,39.82331897,11.33486305,0.59203997,0.348012101,0.355920051,0.160678345,0.534685355,0.028194666,0.298229155,0.228949197,0.034405184
result.23,23,590.2683368,1202.536674,14.93362488,9.980292698,0.40176138,0.492696089,0.225947187,1.59E-05,0.377992061,0.048978777,0.362171861,0.089376094,0.505176355
result.24,24,566.5765965,1155.153193,17.00260424,19.10804096,0.557791091,0.672878359,0.105570824,0.024585226,0.396749648,0.018064839,0.232296043,0.16098114,0.561693363
result.25,25,560.1284259,1142.256852,22.11433785,2.061280672,0.387056491,0.990824573,4.308905322,4.790409579,0.511393041,0.991500173,0.101246009,0.09136497,0.376784584
result.26,26,359.3991328,740.7982656,13.12350688,38.90900862,0.120409528,0.185439051,1.190558847,0.437148019,0.208238037,0.727448978,0.255637102,0.038488224,0.046557668
result.27,27,536.391605,1094.78321,13.62782841,2.505989617,0.054577925,0.998576077,4.757552849,0.097926299,0.552311722,0.986161135,0.635597284,0.017623541,0.299887591
result.28,28,609.517213,1241.034426,25.74904208,33.07813362,0.443457772,0.995921759,0.002051031,4.72958239,0.690817299,0.990356245,0.533139609,0.354590969,0.025880889
result.29,29,639.7447015,1301.489403,10.92416498,0.881692194,0.59950439,0.557496367,0.985188967,2.196889875,0.600055387,0.023665781,0.255637102,0.244289479,0.454452352
result.30,30,636.0619808,1294.123962,24.52515456,21.09396729,0.348447431,0.616822649,0.039753261,0.017764123,0.731637982,0.650360365,0.62542376,0.004219289,0.046279653
