,participant,nLL,aic,prec1,prec2,gamma,kappa,lambda_b,lambda_f,beta,zeta,rho,chi,psi
result.1,1,-62.70765344,-103.4153069,39.99828878,39.94956426,0.019628406,0.203286039,0.561015149,0.063948191,0.058112311,0.682777004,0.002272915,0.991078081,0.001838464
result.2,2,642.7976362,1307.595272,3.439197563,39.69471428,0.384968796,0.024010869,0.199532818,4.532418747,0.77102773,0.015538309,0.093768648,0.007614325,0.722620667
result.3,3,560.1057356,1142.211471,13.15961697,0.542750264,0.619599625,0.830699971,0.554768559,0.571492092,0.509449877,0.557536247,0.049943565,0.448977772,0.49513016
result.4,4,549.6259426,1121.251885,10.58043277,2.52019311,0.211959974,0.448861872,4.01261521,0.01556851,0.508342605,0.985322041,0.947360205,0.002920574,0.005928946
result.5,5,540.7845561,1103.569112,11.21093834,0.350917323,0.460000058,0.032058455,2.610425819,0.503533668,0.503275678,0.184426161,0.151155132,0.132768556,0.694800587
result.6,6,158.0809191,338.1618382,18.92317055,0.107624896,0.188116152,0.001251214,0.000180153,4.734072363,0.061045572,0.991456567,0.676309206,0.004462163,0.191679146
result.7,7,592.8292316,1207.658463,9.367259528,0.101777926,0.947206548,0.999683104,1.197114986,4.918497441,0.625753126,0.929306381,0.022670372,0.47102465,0.005149407
result.8,8,427.9288088,877.8576175,23.01583561,4.207453104,0.325691714,0.961444157,0.379648799,1.179744155,0.373486684,0.996542751,0.734036499,0.000422096,0.263462155
result.9,9,489.5808509,1001.161702,11.89182511,4.844175268,0.38464948,0.150475253,4.899057948,0.810744509,0.385904613,0.974628235,0.653907966,0.001327934,0.343341552
result.10,10,592.4457331,1206.891466,20.01205426,2.091422607,0.716903785,0.551544802,4.99642335,4.999793726,0.712704203,0.213521316,0.001532829,0.498236632,0.49806976
result.11,11,465.2770781,952.5541561,11.8369035,3.855795607,0.271803331,0.210093877,0.97077463,0.072204549,0.342321534,0.026636663,0.461986348,0.047226857,0.304499833
result.12,12,616.0153243,1254.030649,8.695686874,20.70981043,0.34885176,0.000307243,4.997468401,0.096939561,0.688368804,0.998192697,0.811125511,0.000906203,0.142965861
result.13,13,616.9523761,1255.904752,5.104825703,0.158516096,0.398113421,0.416632606,0.884773651,1.264075491,0.678869519,0.095214776,0.585843691,0.114439471,0.015970231
result.14,14,646.6735842,1315.347168,0.103843083,4.917547249,0.789850032,0.868299817,0.002587971,0.387608066,0.555385121,0.949747603,0.35449739,0.337884103,0.019715378
result.15,15,623.8876766,1269.775353,5.011885853,6.833657998,0.743429224,0.997951596,0.029145004,2.56535756,0.716239156,0.034080738,0.028027513,0.704097593,0.004658267
result.16,16,496.238103,1014.476206,12.37509413,0.126967623,0.42307412,0.749353857,0.091394113,4.267040766,0.409413252,0.780616598,0.131251818,0.746468011,0.026262288
result.17,17,520.9563334,1063.912667,13.19489229,0.558159113,0.60046489,0.001170091,2.236958315,0.189378356,0.424401359,0.803059046,0.57020085,0.036639029,0.364833506
result.18,18,162.7879891,347.5759781,11.62127235,1.297473629,0.048638682,0.582318828,0.115923832,1.409509539,0.036740916,0.977210049,0.118808581,0.84785199,0.002883769
result.19,19,510.0685018,1042.137004,25.44488322,13.01863161,0.459817952,0.037473181,4.996480307,0.598263194,0.509243838,0.995043013,0.578032728,0.106869164,0.025018619
result.20,20,513.1971583,1048.394317,20.9490593,27.80794951,0.426828084,0.042820556,1.879259386,0.226833378,0.498800468,0.0264351,0.010459129,0.594911673,0.379767373
result.21,21,631.3725049,1284.74501,8.407062366,10.52056944,0.745557612,0.049683427,4.600133378,1.241379704,0.751667154,0.651471784,0.069112935,0.162976377,0.758339834
result.22,22,563.9370007,1149.874001,39.65323305,18.91035649,0.552875302,0.883188912,0.594847896,0.623269494,0.792822351,0.395975687,0.226213442,0.719622391,0.016810261
result.23,23,595.8537909,1213.707582,13.11838677,12.60140535,0.790436629,0.998808067,0.103127204,0.796301314,0.623486388,0.158178905,0.005768914,0.564090362,0.419676232
result.24,24,576.8694626,1175.738925,14.85627296,36.86970902,0.727403953,0.100170143,1.308342834,0.007242372,0.590692104,0.149298451,0.28458022,0.110176064,0.604400395
result.25,25,562.5970266,1147.194053,24.44179971,39.98651011,0.329101549,0.999995863,1.17166583,0.976810881,0.633429038,0.997166494,0.723132338,0.002606162,0.147989605
result.26,26,359.9846765,741.9693529,12.90069336,39.9669347,0.182484987,0.021296238,4.844052806,1.584346514,0.274328843,0.131913529,0.000327912,0.403563318,0.585778406
result.27,27,536.0491063,1094.098213,12.31163161,39.45363669,0.142735053,0.999993915,4.81372628,0.000106032,0.548519048,0.646636819,0.006029917,0.790998077,0.199457745
result.28,28,613.0734734,1248.146947,15.83598614,38.88002293,0.529305952,0.892229607,1.15101908,4.960366139,0.751471548,0.019192577,0.003711036,0.849702722,0.000616217
result.29,29,639.5868213,1301.173643,10.61948399,1.420503894,0.927655656,0.6169492,0.999065556,2.980292328,0.79682489,0.011628687,0.034908271,0.483178173,0.477910136
result.30,30,645.6396338,1313.279268,0.301863328,7.809968458,0.157408209,0.166126707,4.933913646,4.926951549,0.172435571,0.250867446,0.007776031,0.004888907,0.039536201
result.31,31,298.2474833,618.4949667,16.43308199,9.579102746,0.070896442,0.917450743,0.284065046,4.873568404,0.216839567,0.975923127,0.878727132,0.007609471,0.006592483
result.32,32,599.0297235,1220.059447,16.49582052,0.787193121,0.464901215,0.053897043,0.000945491,4.914294721,0.672210631,0.031547823,0.534932912,0.014052743,0.128565215
result.33,33,564.5304604,1151.060921,21.15323027,0.405269352,0.394232006,0.936257788,1.001542627,0.674671037,0.582501467,0.920987932,0.762236242,0.003912438,0.005660455
result.34,34,472.5390482,967.0780965,12.44013888,10.61665139,0.191138006,0.094790103,1.478580724,4.894957163,0.414829178,0.002611381,0.008339643,0.557116312,0.425487247
result.35,35,578.745269,1179.490538,6.029721475,0.55719789,0.801878975,0.463191648,1.460168248,3.560066967,0.494972803,0.700812797,0.020077156,0.836233792,0.014815651
result.36,36,554.9835106,1131.967021,10.72281837,1.975570309,0.617848917,0.061167819,1.176250181,2.448543881,0.576079513,0.057397689,0.009383675,0.513310734,0.464627954
,,,,14.21,12.33,0.46,0.45,1.82,2.02,0.51,0.51,0.29,0.34,0.24
