,Pure Guess,Pure Intrusion,Intrusion + Guess,Temporal,Spatiotemporal
1,0.12,0.00,0.88,0.00,0.00
2,0.62,0.08,0.23,0.05,0.02
3,0.54,0.00,0.33,0.12,0.02
4,0.07,0.00,0.88,0.03,0.02
5,0.00,0.00,0.96,0.03,0.01
6,0.00,0.00,0.00,0.38,0.62
7,0.01,0.00,0.86,0.12,0.02
8,0.00,0.00,0.24,0.09,0.66
9,0.04,0.00,0.49,0.29,0.18
10,0.00,0.00,0.94,0.03,0.03
11,0.01,0.00,0.68,0.15,0.15
12,0.44,0.00,0.27,0.27,0.02
13,0.68,0.00,0.25,0.06,0.01
14,0.00,0.01,0.99,0.00,0.00
15,0.40,0.00,0.15,0.40,0.05
16,0.01,0.00,0.10,0.73,0.16
17,0.06,0.00,0.74,0.16,0.04
18,0.81,0.00,0.18,0.01,0.00
19,0.00,0.00,0.49,0.02,0.49
20,0.00,0.00,0.06,0.47,0.47
21,0.00,0.00,0.70,0.26,0.04
22,0.00,0.00,0.42,0.42,0.16
23,0.00,0.00,0.71,0.26,0.04
24,0.00,0.00,0.60,0.37,0.03
25,0.13,0.00,0.21,0.58,0.08
26,0.03,0.00,0.88,0.07,0.02
27,0.72,0.00,0.27,0.01,0.00
28,0.01,0.00,0.93,0.05,0.02
29,0.46,0.01,0.46,0.06,0.01
30,0.00,0.01,0.98,0.00,0.01
31,0.00,0.00,0.02,0.49,0.49
32,0.08,0.00,0.61,0.22,0.08
33,0.63,0.00,0.23,0.09,0.05
34,0.59,0.00,0.36,0.05,0.00
35,0.47,0.00,0.47,0.04,0.02
36,0.59,0.00,0.36,0.05,0.01
