Pure Guess,Pure Intrusion,Intrusion + Guess,Temporal,Spatiotemporal
-135.2796805,-70.57436569,-139.0180717,-128.3062267,-124.2833052
1291.149463,1294.537699,1292.587135,1295.882413,1298.469042
1129.004272,1192.324006,1130.230284,1131.981812,1135.972178
1109.953921,1124.656333,1105.495537,1111.790447,1112.900115
1088.474088,1103.29787,1074.939546,1081.912767,1085.031225
331.5978277,394.5878322,334.5839861,323.3322495,321.8740384
1196.9591,1208.776137,1187.875935,1191.585593,1195.688534
875.8328539,901.9587365,864.7131706,866.7946289,862.9111021
999.3164912,1037.443854,994.053467,994.6721551,995.6290669
1193.333442,1186.024338,1166.727446,1174.065014,1173.877711
945.1596285,965.7296656,936.6983027,939.6650454,940.2709984
1242.684081,1261.486262,1243.82166,1244.489179,1248.799093
1240.978061,1256.169099,1243.329585,1245.762745,1249.993001
1308.561714,1296.611851,1287.574366,1310.259646,1299.7384
1258.204297,1271.403565,1260.054269,1257.611459,1261.633509
1002.940655,1024.586214,997.927467,994.1111975,997.2923533
1057.282469,1071.75287,1052.037088,1055.059225,1058.341375
331.8841048,344.0163273,334.6183647,341.5143249,344.326754
1039.12181,1054.275779,1010.778124,1017.430788,1010.643004
1044.529751,1105.181082,1023.62439,1020.424059,1020.457435
1274.339445,1267.444173,1253.17944,1254.891888,1259.241563
1144.464559,1154.403463,1126.943182,1126.808344,1129.442459
1212.417689,1216.335911,1193.288437,1195.030384,1199.30406
1183.309342,1161.650571,1147.063131,1148.495987,1152.676937
1137.028862,1207.753762,1136.477291,1134.499714,1138.311633
735.1475153,746.7307513,728.0502564,732.5359682,736.341951
1077.717523,1133.712966,1079.693296,1087.168413,1090.037171
1239.915506,1266.999901,1230.676326,1237.305567,1239.213188
1290.085703,1298.883,1290.368076,1293.58889,1297.768885
1293.565513,1291.14063,1280.726158,1292.330291,1290.09618
605.1089252,631.1227636,598.6139191,593.0674633,592.7792021
1208.953788,1237.129042,1204.551024,1207.404497,1208.668209
1141.213845,1180.657644,1143.440273,1144.703152,1145.750743
952.0476086,1000.002681,953.3481647,957.4883477,961.6120717
1172.635099,1187.645531,1172.634694,1177.874948,1179.264217
1119.133205,1172.216755,1120.201694,1123.583546,1127.605251
