prec,gamma,beta,cond
57.45451673,0.036393096,0.039174263,Simultaneous
3.483201508,0.079802276,0.713477602,Simultaneous
13.24649543,0.053981769,0.557277204,Simultaneous
9.482551367,0.180441668,0.389148379,Simultaneous
14.26775531,0.240021496,0.344529063,Sequential
18.47901782,0.01,0.11306893,Sequential
7.627873132,0.24249596,0.426888776,Simultaneous
18.83469698,0.174265418,0.289976118,Simultaneous
11.43572918,0.143939889,0.331102852,Simultaneous
16.47128276,0.345848543,0.402035947,Sequential
11.17590487,0.161636177,0.261992594,Simultaneous
9.332305115,0.077049476,0.666497786,Simultaneous
5.5043564,0.01,0.755074384,Simultaneous
14.42378495,0.346770622,0.653229378,Sequential
5.410410012,0.0365889,0.763073578,Sequential
11.57557138,0.151683987,0.352700892,Simultaneous
11.12802335,0.188655873,0.340597654,Simultaneous
11.5807026,0.01,0.053497365,Simultaneous
25.99013327,0.236120428,0.355343944,Sequential
21.69019763,0.231374095,0.349447725,Sequential
8.862736317,0.388223275,0.415297473,Sequential
19.66743113,0.306753995,0.55098665,Simultaneous
13.00764188,0.309119339,0.410712538,Sequential
19.30279443,0.337699686,0.378445123,Sequential
22.17696909,0.082984481,0.580471739,Sequential
13.03140322,0.143389203,0.164478736,Sequential
12.72058813,0.01,0.559655597,Simultaneous
28.8574428,0.173474993,0.667194392,Simultaneous
11.95665117,0.095568116,0.770527707,Sequential
19.11643933,0.223784569,0.691717574,Simultaneous
15.86411688,0.104951344,0.140772885,Sequential
16.38029949,0.160479905,0.583832346,Sequential
18.64492175,0.01,0.666053629,Sequential
12.342468,0.044088939,0.394644829,Simultaneous
6.406187907,0.109130988,0.536181719,Sequential
10.72175411,0.059842658,0.572992419,Simultaneous
