prec1,prec2,gamma,kappa,lambda_b,lambda_f,beta,zeta,rho,cond
49.9983678,28.41771515,0.021068991,0.581940607,0.011921258,0.006834467,0.036642737,0.003575067,0.4525842,Simultaneous
3.690790672,0.68319736,0.635876928,0.014582279,4.01399615,2.937866713,0.513946006,0.702291065,0.624527361,Simultaneous
13.1807155,10.2878914,0.206533766,0.956181476,0.955760791,3.835591051,0.519998769,0.587714819,0.119645398,Simultaneous
12.6333232,4.51112401,0.137505097,0.388822636,2.20129701,0.237011616,0.391662747,0.946571551,0.912181101,Simultaneous
17.37489675,17.27690585,0.127868726,0.94736039,0.050935301,0.670640045,0.368011147,0.533216416,0.782361357,Sequential
18.84204508,0.101249737,0.08458701,2.96E-06,0.028481929,4.991534622,0.000657716,0.995664945,0.75474634,Sequential
9.03735413,5.508993352,0.081137701,0.242301724,1.94333469,0.011264249,0.42716053,0.039797132,0.903849785,Simultaneous
24.50295959,5.98978925,0.128652242,0.987546637,0.588224093,1.721647952,0.221761463,0.870013142,0.901142869,Simultaneous
12.39898613,6.931607371,0.206351211,0.091616634,3.443490388,0.772840798,0.313071021,0.977386376,0.60081523,Simultaneous
22.32319703,7.648529302,0.31786294,0.321307817,0.204755749,0.000922287,0.309248205,0.362405603,0.562034225,Sequential
13.71114435,1.841141555,0.183918251,0.468679572,0.916708986,0.371706277,0.129727219,0.870352923,0.689087058,Simultaneous
8.006892409,0.140649532,0.565853217,0.871299675,1.766905527,4.502429234,0.344544072,0.297486717,0.204756375,Simultaneous
4.700875931,0.113696598,0.355060872,0.514202923,1.942800387,2.152180554,0.377277574,0.231908925,0.553748702,Simultaneous
49.19963319,18.77569924,0.11268195,0.729387927,0.248619873,1.517619651,0.695148781,0.009083334,0.993048148,Sequential
5.528326337,5.525282641,0.441036858,0.641482599,4.71607388,4.860427595,0.671862435,0.217794021,0.001256411,Sequential
14.83376827,8.627480339,0.159313499,0.928033523,0.358022125,2.221599981,0.306642788,0.454761414,0.641589383,Simultaneous
12.759688,10.44608389,0.186866124,0.883939945,0.025882714,0.030079238,0.352370654,0.528375818,0.539382443,Simultaneous
11.76151995,0.961911176,0.016279995,0.87995837,4.563107142,0.033247839,0.006021172,0.924159926,0.992485818,Simultaneous
37.04331712,11.60827165,0.128037517,0.882641258,0.852902451,0.707936048,0.306259467,0.797098897,0.94309479,Sequential
26.33246819,11.50652137,0.135164674,0.423571857,1.483769215,2.684042737,0.301108192,0.514925537,0.89039202,Sequential
8.849217998,8.793238056,0.157372875,0.613017851,2.029950812,2.087959376,0.409727279,0.051799545,0.853205603,Sequential
49.59155375,11.37136405,0.258508383,0.453967857,0.522841737,0.327041287,0.529017432,0.000148299,0.573412266,Simultaneous
15.08553898,9.951205924,0.080132302,0.461940498,2.405437673,0.096932787,0.409620532,0.003522608,0.951164329,Sequential
18.83401112,16.61816097,0.101113255,0.374836314,1.674364103,0.017807666,0.378431836,0.002355115,0.879713994,Sequential
21.75808259,2.253223773,0.375517332,0.971205939,4.772492973,4.976605187,0.518794858,0.979669029,0.157148665,Sequential
13.43036369,3.178658123,0.212930111,0.3899498,0.417746618,0.124792067,0.044657962,0.497922535,0.352497704,Sequential
14.38779337,1.98783299,0.079369296,0.999596406,4.965806824,0.008006403,0.517302993,0.989610993,0.876295193,Simultaneous
36.60610473,29.75117869,0.178008351,0.036992651,0.011674704,0.131423617,0.678602737,0.678498819,0.862543567,Simultaneous
9.286402483,0.646242204,0.36445408,0.084700712,1.84569868,2.928108011,0.621784198,0.000512418,0.59803238,Sequential
22.18346679,20.22281494,0.491297307,0.595934929,0.024424167,0.000661146,0.715169898,0.587768817,0.466290622,Simultaneous
19.46235436,19.35056615,0.12730985,0.995481274,0.705600714,4.973583159,0.142766317,0.99914462,0.636249643,Sequential
22.59265435,13.98798525,0.312576156,0.988547075,0.00173579,2.013999371,0.583412984,0.979558925,0.617256054,Sequential
25.97104695,3.616929219,0.199997356,0.371467319,4.781528152,0.763321792,0.537893284,0.970725076,0.818543562,Sequential
12.68657361,1.311632876,0.183862449,0.3844396,1.44191525,0.686835349,0.276616663,0.184468914,0.271321125,Simultaneous
8.435834287,8.358394638,0.20362115,0.040946957,4.990674033,1.377951506,0.547366126,0.99865478,0.804843614,Sequential
10.64200079,10.55711682,0.357347115,0.705474102,0.034499952,1.165628721,0.530193917,0.002220814,0.023230419,Simultaneous
