prec,beta,cond
57.51478785,0.075379504,Simultaneous
3.717789229,0.799724929,Simultaneous
13.1683801,0.61105675,Simultaneous
9.051631789,0.565609746,Simultaneous
11.80204876,0.567078208,Sequential
18.48775358,0.121494027,Sequential
8.363813251,0.677010822,Simultaneous
19.79116732,0.471631067,Simultaneous
11.41464388,0.472221439,Simultaneous
20.55100584,0.76029368,Sequential
11.57801444,0.428837735,Simultaneous
7.709710508,0.728225755,Simultaneous
5.594463843,0.766062269,Simultaneous
128.4347863,0.99267679,Sequential
5.501368486,0.80129668,Sequential
11.61813299,0.497592385,Simultaneous
12.16080534,0.539143302,Simultaneous
11.62484111,0.06248284,Simultaneous
24.29732732,0.580856305,Sequential
21.83143481,0.578414118,Sequential
8.733315915,0.80501272,Sequential
60.69038524,0.88256956,Simultaneous
15.16629732,0.731659439,Sequential
20.95372576,0.717425234,Sequential
20.84296707,0.658655463,Sequential
13.21105673,0.310662471,Sequential
12.7045281,0.569757481,Simultaneous
23.7993364,0.829217968,Simultaneous
11.774706,0.866947042,Sequential
22.19367168,0.91588688,Simultaneous
15.13387991,0.238052295,Sequential
15.96299558,0.745748526,Sequential
18.7130788,0.676005887,Sequential
12.43335222,0.440231756,Simultaneous
6.016086166,0.637566514,Sequential
10.67124807,0.632852629,Simultaneous
