"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi","psi"
"result.1",1,-62.7076534444099,-103.41530688882,39.9982887784129,39.9495642570148,0.0196284059830955,0.203286039078569,0.561015149080425,0.0639481914334747,0.0581123105969982,0.682777004083619,0.00227291545375756,0.991078081028309,0.00183846434331627
"result.2",2,642.79763622479,1307.59527244958,3.43919756349231,39.6947142753989,0.384968796458591,0.0240108694042918,0.199532818043906,4.53241874664763,0.771027729812749,0.0155383093589931,0.0937686476335978,0.00761432521103613,0.722620667028373
"result.3",3,560.105735551486,1142.21147110297,13.1596169689479,0.542750264278663,0.619599624875355,0.830699970991546,0.554768559261258,0.571492091851924,0.509449877032163,0.557536247481005,0.0499435646700455,0.448977771960492,0.495130159613972
"result.4",4,549.625942575143,1121.25188515029,10.5804327671345,2.52019310982175,0.211959973842747,0.448861872360465,4.01261521044188,0.0155685102358272,0.508342604625757,0.985322040843308,0.94736020499773,0.00292057405882979,0.00592894572764635
"result.5",5,540.784556146697,1103.56911229339,11.2109383371972,0.350917322508661,0.460000058460569,0.0320584554505563,2.61042581867407,0.503533667529336,0.503275677736999,0.184426160963043,0.151155132334679,0.132768556163434,0.694800586754261
"result.6",6,158.08091912156,338.16183824312,18.9231705508182,0.10762489564774,0.1881161516142,0.00125121401729875,0.000180152533596525,4.73407236272423,0.061045571520454,0.991456566602658,0.676309205579174,0.00446216345775835,0.191679146478928
"result.7",7,592.829231569336,1207.65846313867,9.36725952800528,0.101777926289006,0.947206548033444,0.999683103982805,1.19711498598639,4.91849744059667,0.625753126293999,0.929306381016077,0.0226703720726347,0.471024650377834,0.00514940679117169
"result.8",8,427.928808774762,877.857617549524,23.0158356066748,4.20745310351572,0.325691713781682,0.961444156644796,0.379648799175019,1.17974415548704,0.373486684085516,0.996542751319823,0.734036498726118,0.000422096030158067,0.263462154650292
"result.9",9,489.580850937535,1001.16170187507,11.8918251070837,4.84417526782391,0.384649479922547,0.150475253471022,4.89905794753153,0.810744508714333,0.385904613374198,0.974628235051207,0.653907965989547,0.001327934139747,0.343341552029917
"result.10",10,592.445733130447,1206.89146626089,20.012054258133,2.09142260661165,0.71690378495597,0.551544802148554,4.9964233499486,4.99979372601956,0.71270420291269,0.213521316382314,0.00153282924326893,0.498236631559444,0.498069759915487
"result.11",11,465.277078059954,952.554156119908,11.8369035033714,3.85579560745414,0.271803331045155,0.210093876928446,0.970774630240273,0.0722045485682984,0.342321533912872,0.0266366631251703,0.46198634751684,0.0472268571611494,0.304499832908536
"result.12",12,616.01532429919,1254.03064859838,8.69568687383711,20.7098104342365,0.348851759727638,0.000307243012744519,4.99746840137694,0.0969395605069871,0.688368803934616,0.998192696873854,0.811125511385022,0.000906203388075507,0.142965860918258
"result.13",13,616.952376072549,1255.9047521451,5.1048257025264,0.158516096397533,0.398113420870786,0.416632605622656,0.884773650905117,1.26407549083586,0.678869519072636,0.0952147759751926,0.585843690617096,0.114439471247029,0.0159702313719181
"result.14",14,646.673584193658,1315.34716838732,0.103843083326658,4.91754724918436,0.789850031546192,0.868299816537597,0.00258797060695273,0.387608066408801,0.555385121394632,0.949747602631041,0.354497389946286,0.3378841025174,0.0197153778112961
"result.15",15,623.887676591502,1269.775353183,5.01188585329333,6.83365799770582,0.743429223675416,0.997951596293487,0.0291450037854236,2.56535756023793,0.716239155729439,0.0340807378021805,0.0280275125044092,0.704097593075963,0.00465826681275032
"result.16",16,496.238102992943,1014.47620598589,12.3750941281544,0.126967622745764,0.423074120241968,0.749353856668476,0.0913941125219639,4.26704076584429,0.409413252402676,0.780616598194928,0.131251818331196,0.746468010783395,0.0262622881565297
"result.17",17,520.956333445096,1063.91266689019,13.1948922908767,0.558159112899881,0.600464889843139,0.00117009134229394,2.23695831453112,0.18937835613645,0.424401359195164,0.803059046389535,0.570200850459596,0.0366390293596952,0.364833505621878
"result.18",18,162.787989062969,347.575978125937,11.6212723481154,1.29747362930557,0.0486386820515086,0.582318827950913,0.115923832410991,1.40950953911513,0.03674091561571,0.977210049118521,0.118808581396748,0.847851990015471,0.00288376909265269
"result.19",19,510.068501761259,1042.13700352252,25.4448832247521,13.0186316134727,0.459817952178211,0.0374731805471801,4.99648030710995,0.598263193548954,0.509243838371414,0.995043012674378,0.578032728297198,0.106869163869235,0.0250186194926001
"result.20",20,513.197158329404,1048.39431665881,20.9490593002571,27.8079495080857,0.426828083712583,0.0428205563420595,1.87925938644046,0.226833378398232,0.49880046818514,0.0264351000583759,0.0104591289474242,0.59491167316815,0.379767372684423
"result.21",21,631.372504893963,1284.74500978793,8.40706236627631,10.5205694447733,0.74555761150196,0.0496834271013766,4.60013337794535,1.24137970417637,0.751667153967086,0.651471784422905,0.0691129345144267,0.162976377268506,0.75833983357618
"result.22",22,563.937000668543,1149.87400133709,39.6532330509895,18.9103564885598,0.552875302085411,0.883188911835205,0.594847896136343,0.623269494405664,0.792822351216149,0.395975687123929,0.226213442161679,0.719622391021348,0.0168102608507875
"result.23",23,595.853790879253,1213.70758175851,13.1183867720088,12.6014053512845,0.790436629354676,0.998808067457923,0.103127203846157,0.796301313526197,0.623486387691014,0.15817890508225,0.00576891431872099,0.56409036190786,0.419676232002369
"result.24",24,576.869462630805,1175.73892526161,14.8562729559742,36.8697090240699,0.727403952656786,0.100170142904505,1.30834283420771,0.00724237222494284,0.590692104177759,0.149298451001159,0.284580219769288,0.110176064315304,0.604400395217718
"result.25",25,562.597026606566,1147.19405321313,24.4417997077427,39.9865101051872,0.329101549323493,0.999995863477282,1.17166582964006,0.976810881032673,0.633429037766648,0.997166493979404,0.7231323378464,0.00260616166184519,0.147989604962257
"result.26",26,359.984676464965,741.969352929931,12.9006933561819,39.9669347034392,0.182484986690602,0.0212962381520162,4.84405280569701,1.58434651429082,0.274328843064009,0.131913528584733,0.000327911700755375,0.403563317903064,0.585778406312567
"result.27",27,536.049106300442,1094.09821260088,12.3116316096446,39.4536366922515,0.142735053128406,0.999993914663714,4.81372627971676,0.000106031637716861,0.548519047519884,0.646636819423492,0.00602991711533787,0.790998076748922,0.199457744623923
"result.28",28,613.073473387648,1248.1469467753,15.8359861378563,38.8800229301129,0.529305951653132,0.892229607010062,1.1510190799869,4.96036613913007,0.751471547561115,0.0191925767618765,0.00371103649611093,0.849702721954122,0.000616216621368628
