"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi"
"result.1",1,-62.7224299953895,-105.444859990779,39.9999889056495,39.9997365914396,0.0185979982147331,0.978987514274195,4.57613192247356,0.154513443940915,0.0583899443678065,0.109085923320184,0.212369709275663,0.999958431566354
"result.2",2,642.799602931806,1305.59920586361,3.44260740677523,39.9601941038165,0.329413005610947,0.00313769535860105,0.223370415699181,3.05481094983402,0.768953081893803,0.0443559403349996,0.173172731919687,0.0108543318848614
"result.3",3,560.394734330233,1140.78946866047,12.9111413416883,0.668839592588785,0.394462936144767,0.958775085743552,0.604722379939631,1.04125544765505,0.515893985618407,0.0106674048299245,0.424688968108967,0.348332009155151
"result.4",4,549.436516808798,1118.8730336176,10.6383091437331,2.35642215879737,0.236066779645053,0.999393407022581,4.81141249429997,0.0307569096025774,0.492813195802602,0.998277472013673,0.968889767052087,0.0012082346273364
"result.5",5,540.754875341089,1101.50975068218,11.6662603846603,0.333464839157559,0.446159829322134,0.273475134049572,4.92430534679443,1.77596773574247,0.502309292051366,0.617696572939939,0.059643579646945,0.736235990189016
"result.6",6,158.050108384387,336.100216768774,19.0408836648072,0.104770646455087,0.17759522565538,4.5808853905194e-05,0.00104553034436935,4.23872846823547,0.0658479742561412,0.988999008036813,0.723570217357432,0.00794059364488815
"result.7",7,592.785864713654,1205.57172942731,9.13489927691159,0.126773664687898,0.991277915363725,0.999771216632917,0.819043609080836,4.97690012365873,0.614333094041881,0.841903788302065,0.00757780095526507,0.47907041110261
"result.8",8,427.853377267804,875.706754535609,23.0497042258142,3.56246901081396,0.324688489609994,0.999448776532821,0.954676626613152,3.04525930805635,0.36851658221684,0.969610103832092,0.886289059646229,0.0272861718518736
"result.9",9,489.547652293893,999.095304587785,12.0424425512301,4.78503566779455,0.404773751546475,0.170848084002168,4.93707490297068,0.827797444390964,0.382189030798079,0.991098774039833,0.67826234650002,0.00175795835217627
"result.10",10,592.504697817146,1205.00939563429,20.1201470107444,2.3528316299766,0.644281148149764,0.364793512886957,4.98652128278747,4.99707124557987,0.715379166999925,0.745020323119785,0.000709378168065268,0.503738873364555
"result.11",11,465.273942670655,950.547885341309,11.7370243706131,4.09359798135514,0.178271302657046,0.122405759099111,1.28581590645751,0.0438384163472883,0.342311043183731,0.128310202449146,0.643002625321969,0.021879605948925
"result.12",12,616.040872092469,1252.08174418494,9.25537784583559,19.1891429700033,0.328524401509797,0.00067920536880915,4.83619991253834,0.208413993608783,0.691490535409598,0.996208152160755,0.84501137307638,0.000719482726009198
"result.13",13,616.77418206656,1253.54836413312,5.01645501236429,0.101015110414973,0.240528390852792,0.672132312635903,0.691196370421254,1.72449802733205,0.662588254507814,0.0155683110933751,0.759357366225598,0.000427339995849367
"result.14",14,646.629341418248,1313.2586828365,0.100467914435893,7.90277537051294,0.518446997694689,0.996290770168739,0.0354627656049729,1.2205276907793,0.603442602815528,0.775439597938958,0.728965346920453,0.527431464585502
"result.15",15,623.974762598831,1267.94952519766,4.85196664014004,9.69125519741919,0.853007644692493,0.995901942253113,3.84072626207608,4.88067508370275,0.736996538971062,0.091794568823016,0.00429436885224915,0.831858583865151
"result.16",16,496.137636583138,1012.27527316628,12.5401906673002,0.114823787695813,0.414495131894807,0.983268316824435,0.0337906255216944,4.83977157288577,0.40221721384536,0.684476541745746,0.0998797381840835,0.776048477326608
"result.17",17,521.148341624142,1062.29668324828,13.3081806898435,0.659339504150871,0.715344514398485,0.00513960302460847,1.86183454816901,0.31415002801594,0.405139275843183,0.944616872109726,0.480957546931034,0.155943603166045
"result.18",18,162.654429714009,345.308859428017,11.8092882059325,1.41676168605492,0.0511857178350451,0.663131170845421,0.212409576633267,4.42550718705328,0.0343052317957829,0.982331591891125,0.90398280438967,0.572971444715907
