"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho"
"result.1",1,-71.0780813618942,-124.156162723788,49.9952817416038,15.8314983510065,0.0510871949096783,0.00611302586078112,4.43735761612812,0.000552668153278196,0.0452099501855846,0.0229820677902449,0.0191292197548679
"result.2",2,639.985173536018,1297.97034707204,2.66088477767278,0.425597984023883,0.688578779077292,0.0216043815016747,3.42958601574029,1.43687426229008,0.324755703874137,0.921697399099211,0.423519293568771
"result.3",3,558.989549339429,1135.97909867886,13.2886658633606,10.2572510587924,0.201346784402643,0.962395729040197,1.04021496456686,4.0403177490792,0.520163940933519,0.57667818465344,0.153699370515104
"result.4",4,547.431718439985,1112.86343687997,12.598924484378,4.47138345904844,0.124828827065155,0.451952247296198,1.82312173346146,0.0568501413094725,0.381558551936936,0.882608117845879,0.928844744880439
"result.5",5,533.412302591475,1084.82460518295,17.8928301236984,17.8234874504415,0.10441437171695,0.988759991387144,0.00740445102982227,0.923781170332178,0.371397357676024,0.387525265337899,0.844025330749666
"result.6",6,152.050495891487,322.100991782975,18.7646666224823,0.113715471522214,0.0768168834598581,6.13454783669122e-05,0.016487692776159,4.66833604927888,0.000389042817677793,0.974036302741688,0.807209048626636
"result.7",7,588.855717493961,1195.71143498792,8.51046285401237,6.01847041923772,0.093485553379342,0.261215529278368,1.24167831126052,0.0133744089458927,0.424428817972803,0.0378316190851574,0.831942359317815
"result.8",8,422.384228446221,862.768456892442,25.0812860480045,4.98901039062706,0.14447671788094,0.979795317771972,0.49480445523509,1.4795144764808,0.191302402206314,0.875810424834186,0.872762620663496
"result.9",9,488.801889783226,995.603779566451,12.4043153021266,6.4359064398445,0.215609972142927,0.040618641993924,4.57125114311421,0.866287015704435,0.306782668143817,0.97230997377696,0.61291884484253
"result.10",10,577.976996822408,1173.95399364482,21.9621501375292,6.79411687632893,0.1357505964875,0.030461938392716,0.765916247024402,0.0206564874177552,0.259362987755858,0.244488111697137,0.886762358478952
"result.11",11,461.101213301662,940.202426603324,13.8716380947445,1.65002878850315,0.157730794581088,0.581684641453681,1.13663681471555,0.588183238628105,0.0761994366070189,0.776077021225222,0.802233965286835
"result.12",12,615.444983533375,1248.88996706675,7.62164445297478,0.130095986867638,0.577902358956635,0.655127771482073,0.860318334248169,2.04730960408194,0.369206552194119,0.144297271232931,0.105766998051059
"result.13",13,616.015214054274,1250.03042810855,4.73137347576642,0.116266447982961,0.238369517126982,0.50799748545796,4.51577163348845,4.91031793993898,0.39672698398761,0.0523618192054708,0.827706362305579
"result.14",14,642.349995809499,1302.699991619,46.8625220782709,20.9546658382814,0.166826012173291,0.452178263109764,0.202611818192324,0.218900836586894,0.722452928405931,0.00245848106075386,0.83026005118154
"result.15",15,621.814957000702,1261.6299140014,5.50584127415427,5.48308144018572,0.438674870971858,0.594363219818218,4.9230717739556,4.91397185491433,0.674299046805153,0.55410267043311,0.00621142679946087
"result.16",16,489.636642621153,997.273285242307,14.2077295884248,8.60987152031231,0.242409236651346,0.812178078801799,0.221521173492193,1.2874674092625,0.298016257201785,0.684386548572245,0.434625668101618
"result.17",17,520.234937378214,1058.46987475643,12.9563348373267,7.31580132147733,0.0806336201381109,0.987800547456278,0.141156770428378,0.0175688513544903,0.277672250738785,0.269750742112943,0.910943493314983
"result.18",18,163.154883777786,344.309767555571,11.9464522309374,1.03892385079029,0.0186824481167865,0.485380401898813,4.25841255473895,0.352315876200548,0.00103059096458763,0.969928674745226,0.99139607973502
"result.19",19,496.327887655298,1010.6557753106,36.6306475889432,11.8671905641444,0.11988104533958,0.389896363951266,2.74628100740512,1.22999947408176,0.305209587610189,0.768734490666597,0.972312709641973
"result.20",20,501.237330731864,1020.47466146373,27.7075918316482,11.11117415548,0.190022738618248,0.444814788390048,0.596145479667828,1.06167477788404,0.299727485279447,0.626634146943763,0.7031553108316
"result.21",21,620.487164693491,1258.97432938698,9.23499102863337,8.55465218650316,0.466561820186321,0.579608394010845,0.302173097964376,0.386054262559382,0.398853578219194,0.0755894683845545,0.308479202600809
"result.22",22,555.554564378784,1129.10912875757,49.9298064661603,12.8413867060567,0.240850222344356,0.207187889323878,0.667945176347746,0.198209873675094,0.528178757364033,0.00166269863985561,0.613222561588726
"result.23",23,590.632023273459,1199.26404654692,15.714162342341,9.40844180319558,0.419881509990775,0.502903938093549,0.208974484021486,0.00138929553902221,0.367785259854698,0.145301944170894,0.353432209601269
"result.24",24,566.976170443708,1151.95234088742,24.0544780714046,10.574594229878,0.15218596952036,0.813108894647249,0.401396588333519,0.0121194530382792,0.326673764707078,0.175865253959094,0.803633578901904
"result.25",25,560.153002544137,1138.30600508827,22.041116904844,2.21727543521321,0.372918296330215,0.980128748250915,4.94948031548227,4.99435352017721,0.522693174654591,0.964419318339958,0.160173794736747
"result.26",26,359.465142960474,736.930285920948,13.4171752832449,3.06516588451,0.0721633038673831,0.816247942241722,2.93391595605494,1.84296871762825,0.0738270258916824,0.357217995257349,0.917022137157462
"result.27",27,536.029160210315,1090.05832042063,14.1665350241272,1.43713471266761,0.0680479776496923,0.998782513238106,1.29937026914198,0.0243173521655291,0.509858153105494,0.989186176731612,0.891599283748098
"result.28",28,610.552987157859,1239.10597431572,36.3337859950918,27.363393725354,0.268642269318267,0.174129672871909,0.0135146498668367,0.015047575411248,0.670464942640402,0.730002471307203,0.673514872543005
"result.29",29,639.870388299998,1297.7407766,6.96458997503315,0.677145672241271,0.477123796020323,0.28390644661796,1.21204910418436,1.84699003940261,0.561905625180585,0.00755768055717928,0.346332591970088
"result.30",30,635.965308787863,1289.93061757573,22.6250095075299,20.4558129868923,0.145977977322727,0.913030618680651,0.718337732186799,0.00999326590309548,0.698205781579222,0.417043877569802,0.956467699074865
"result.31",31,287.517189063293,593.034378126585,18.1997725713877,18.006938251794,0.128197732836372,0.994631360577304,0.630395909207546,4.76722420986432,0.13551570144137,0.978056792833522,0.607860167784667
