,word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
57,TIME,99890,8308,96603,8303,1958.63,4.9995,99.05,3.9195,4
63,TAKE,96443,8299,77165,8250,1891.04,4.9843,98.94,3.9191,4
66,LOOK,99311,8290,56177,8107,1947.27,4.997,98.83,3.9186,4
70,SOME,88089,8269,79714,8234,1727.24,4.9449,98.58,3.9175,4
73,BEEN,88573,8261,87482,8254,1736.73,4.9473,98.49,3.9171,4
75,THEN,75966,8255,48171,8008,1489.53,4.8806,98.41,3.9168,4
81,WERE,84804,8237,82265,8225,1662.82,4.9284,98.2,3.9158,4
87,MAKE,70775,8215,64730,8183,1387.75,4.8499,97.94,3.9147,4
93,MORE,66228,8177,62546,8158,1298.59,4.821,97.48,3.9126,4
94,OVER,67488,8171,63199,8142,1323.29,4.8292,97.41,3.9123,4
96,THEM,90720,8162,90081,8156,1778.82,4.9577,97.31,3.9118,4
97,DOWN,76004,8161,73713,8147,1490.27,4.8808,97.29,3.9118,4
105,TELL,87949,8121,71814,8051,1724.49,4.9442,96.82,3.9097,4
106,ONLY,55269,8118,48650,8048,1083.71,4.7425,96.78,3.9095,4
108,GIVE,59559,8088,43928,7883,1167.82,4.775,96.42,3.9079,4
110,NEED,66040,8076,65122,8064,1294.9,4.8198,96.28,3.9073,4
117,MEAN,63443,8032,63218,8027,1243.98,4.8024,95.76,3.9049,4
118,MUCH,49636,8027,48812,8012,973.25,4.6958,95.7,3.9046,4
119,SAID,56531,8026,55668,8016,1108.45,4.7523,95.68,3.9046,4
121,SURE,56091,8007,40398,7768,1099.82,4.7489,95.46,3.9035,4
126,EVEN,44672,7931,38346,7775,875.92,4.65,94.55,3.8994,4
132,INTO,43074,7876,42661,7868,844.59,4.6342,93.9,3.8964,4
133,VERY,63304,7863,54294,7709,1241.25,4.8014,93.74,3.8956,4
145,THAN,37679,7770,37398,7760,738.8,4.5761,92.63,3.8905,4
146,HELP,46977,7745,39534,7651,921.12,4.6719,92.33,3.8891,4
149,LAST,36878,7731,33303,7591,723.1,4.5668,92.17,3.8883,4
152,WAIT,42343,7709,21510,6736,830.25,4.6268,91.91,3.8871,4
153,FIND,42379,7687,40186,7642,830.96,4.6272,91.64,3.8858,4
154,WORK,40699,7670,39739,7637,798.02,4.6096,91.44,3.8849,4
155,DOES,34002,7665,26521,7313,666.71,4.5315,91.38,3.8846,4
157,TALK,43605,7619,41204,7559,855,4.6395,90.83,3.882,4
158,LIFE,40629,7596,38855,7561,796.65,4.6088,90.56,3.8806,4
159,LONG,34433,7581,32497,7519,675.16,4.537,90.38,3.8798,4
160,AWAY,37276,7580,36915,7567,730.9,4.5714,90.37,3.8797,4
161,KEEP,35846,7569,27632,7279,702.86,4.5545,90.24,3.8791,4
163,CALL,43931,7556,38761,7453,861.39,4.6428,90.08,3.8783,4
167,TOLD,35679,7529,35047,7506,699.59,4.5524,89.76,3.8768,4
168,EVER,36170,7513,34138,7436,709.22,4.5584,89.57,3.8759,4
172,HOME,39491,7452,38202,7405,774.33,4.5965,88.84,3.8723,4
173,MADE,28626,7442,27975,7409,561.29,4.4568,88.72,3.8717,4
174,STOP,36071,7421,22076,6825,707.27,4.5572,88.47,3.8705,4
180,KIND,30125,7317,28973,7259,590.69,4.4789,87.23,3.8644,4
183,FEEL,31989,7265,30778,7206,627.24,4.505,86.61,3.8613,4
184,HEAR,28323,7249,27261,7216,555.35,4.4522,86.42,3.8603,4
196,MUST,35661,7154,33334,6989,699.24,4.5522,85.29,3.8546,4
198,FINE,30502,7135,22797,6582,598.08,4.4843,85.06,3.8535,4
202,NICE,33125,7094,24414,6565,649.51,4.5202,84.57,3.851,4
206,NAME,32735,7031,31694,6977,641.86,4.515,83.82,3.8471,4
207,DONE,24737,7025,23992,6967,485.04,4.3934,83.75,3.8467,4
208,ELSE,22907,7025,22872,7021,449.16,4.36,83.75,3.8467,4
211,LEFT,24707,7001,23534,6957,484.45,4.3928,83.46,3.8452,4
212,NEXT,23090,7001,19402,6657,452.75,4.3634,83.46,3.8452,4
218,CARE,24748,6945,24275,6903,485.25,4.3936,82.8,3.8417,4
223,CAME,23650,6889,23256,6853,463.73,4.3738,82.13,3.8382,4
224,MIND,24715,6870,23477,6771,484.61,4.393,81.9,3.837,4
227,STAY,26298,6834,20425,6440,515.65,4.4199,81.47,3.8347,4
231,WASN,21984,6747,20983,6652,431.06,4.3421,80.44,3.8292,4
232,SAME,21276,6746,19383,6577,417.18,4.3279,80.42,3.8291,4
234,WENT,20987,6677,20617,6641,411.51,4.322,79.6,3.8246,4
235,BEST,20623,6673,19659,6598,404.37,4.3144,79.55,3.8244,4
239,SHOW,24906,6630,21991,6367,488.35,4.3963,79.04,3.8216,4
243,SEEN,19633,6541,19399,6515,384.96,4.293,77.98,3.8157,4
246,HOLD,22273,6456,11686,5250,436.73,4.3478,76.97,3.81,4
247,REAL,22583,6453,21376,6375,442.8,4.3538,76.93,3.8098,4
254,ONCE,17589,6405,14200,5921,344.88,4.2453,76.36,3.8066,4
255,TOOK,17454,6404,16807,6327,342.24,4.2419,76.35,3.8065,4
259,IDEA,18311,6359,18296,6357,359.04,4.2627,75.81,3.8035,4
264,USED,17551,6326,17095,6276,344.14,4.2443,75.42,3.8012,4
266,MANY,18331,6297,17336,6219,359.43,4.2632,75.07,3.7992,4
267,KNEW,18817,6296,18673,6279,368.96,4.2746,75.06,3.7991,4
268,HEAD,18947,6294,18207,6235,371.51,4.2776,75.04,3.799,4
271,ROOM,22415,6251,21385,6167,439.51,4.3506,74.52,3.796,4
276,GIRL,28413,6143,27239,6094,557.12,4.4535,73.24,3.7885,4
278,MOST,17889,6134,15492,5771,350.76,4.2526,73.13,3.7878,4
281,HOPE,16352,6123,14961,5922,320.63,4.2136,73,3.787,4
282,BOTH,15062,6112,13225,5809,295.33,4.1779,72.87,3.7863,4
284,HARD,15700,6095,14960,5996,307.84,4.1959,72.66,3.785,4
285,GUYS,32198,6085,30116,6019,631.33,4.5078,72.54,3.7843,4
290,LIVE,17574,6052,16956,5975,344.59,4.2449,72.15,3.782,4
292,MOVE,21325,6041,15590,5620,418.14,4.3289,72.02,3.7812,4
297,MEET,17966,5986,16880,5826,352.27,4.2545,71.36,3.7772,4
300,TURN,15630,5931,12394,5519,306.47,4.194,70.71,3.7732,4
302,SAYS,16356,5926,15607,5828,320.71,4.2137,70.65,3.7728,4
305,GONE,15135,5920,14552,5870,296.76,4.18,70.58,3.7724,4
310,OPEN,16341,5847,12221,5286,320.41,4.2133,69.71,3.767,4
314,DAYS,15592,5801,15338,5743,305.73,4.1929,69.16,3.7636,4
322,LOST,13974,5685,13337,5592,274,4.1454,67.78,3.7548,4
330,SUCH,14852,5626,13715,5477,291.22,4.1718,67.07,3.7503,4
332,FACE,14747,5610,14152,5529,289.16,4.1687,66.88,3.749,4
333,PART,13337,5604,12790,5508,261.51,4.1251,66.81,3.7486,4
334,SOON,13140,5603,11958,5411,257.65,4.1186,66.8,3.7485,4
336,LATE,13756,5576,13446,5531,269.73,4.1385,66.48,3.7464,4
340,HAND,14262,5562,13466,5431,279.65,4.1542,66.31,3.7453,4
343,GAVE,12428,5529,12188,5476,243.69,4.0944,65.92,3.7427,4
347,EACH,12916,5480,11938,5316,253.25,4.1112,65.33,3.7389,4
349,AREN,11946,5475,8871,4771,234.24,4.0773,65.27,3.7385,4
352,MISS,23850,5432,8516,4163,467.65,4.3775,64.76,3.735,4
354,MINE,12800,5426,11620,5229,250.98,4.1072,64.69,3.7346,4
357,EASY,13551,5385,10851,5022,265.71,4.132,64.2,3.7313,4
361,PLAY,18081,5343,17006,5231,354.53,4.2572,63.7,3.7279,4
363,TRUE,12921,5312,12086,5159,253.35,4.1113,63.33,3.7253,4
364,GETS,11364,5311,11157,5270,222.82,4.0556,63.32,3.7253,4
367,DOOR,14895,5286,14339,5228,292.06,4.1731,63.02,3.7232,4
370,DEAL,13330,5231,12637,5123,261.37,4.1249,62.36,3.7187,4
373,FIVE,14558,5205,10972,4701,285.45,4.1631,62.05,3.7165,4
380,GOES,11081,5163,10852,5116,217.27,4.0446,61.55,3.713,4
382,WORD,12013,5147,11452,5030,235.55,4.0797,61.36,3.7116,4
385,REST,10861,5142,10547,5082,212.96,4.0359,61.3,3.7112,4
387,HURT,12564,5123,12407,5102,246.35,4.0992,61.08,3.7096,4
391,BABY,25978,5088,22729,4918,509.37,4.4146,60.66,3.7066,4
396,WEEK,12164,5024,12051,5001,238.51,4.0851,59.9,3.7011,4
401,YEAR,14174,4981,13091,4891,277.92,4.1515,59.38,3.6974,4
404,WISH,11991,4968,11419,4839,235.12,4.0789,59.23,3.6963,4
410,FOUR,13045,4932,10261,4442,255.78,4.1155,58.8,3.6931,4
412,CASE,14403,4885,14006,4849,282.41,4.1585,58.24,3.689,4
418,WALK,11009,4848,10219,4695,215.86,4.0418,57.8,3.6857,4
422,SHUT,13455,4828,5974,3329,263.82,4.1289,57.56,3.6839,4
424,WIFE,17795,4811,17592,4781,348.92,4.2503,57.36,3.6823,4
426,EYES,11299,4766,10940,4705,221.55,4.0531,56.82,3.6782,4
427,ALSO,10528,4765,9336,4461,206.43,4.0224,56.81,3.6782,4
429,READ,12302,4733,11142,4497,241.22,4.09,56.43,3.6752,4
433,PICK,10118,4726,8512,4388,198.39,4.0051,56.34,3.6746,4
434,SIDE,10247,4725,9820,4646,200.92,4.0106,56.33,3.6745,4
436,DAMN,14460,4711,7743,3458,283.53,4.1602,56.16,3.6732,4
437,HALF,10156,4685,9123,4473,199.14,4.0068,55.85,3.6708,4
453,LINE,10515,4539,10060,4455,206.18,4.0219,54.11,3.6571,4
457,KIDS,15356,4510,14253,4365,301.1,4.1863,53.77,3.6543,4
462,HIGH,9945,4450,8393,4173,195,3.9976,53.05,3.6485,4
468,FACT,8801,4369,8649,4339,172.57,3.9446,52.09,3.6405,4
475,HOUR,8277,4343,8175,4323,162.29,3.9179,51.78,3.6379,4
476,FULL,8512,4326,7840,4186,166.9,3.9301,51.57,3.6362,4
478,GLAD,8740,4312,7601,3977,171.37,3.9416,51.41,3.6348,4
482,ABLE,8155,4285,8048,4258,159.9,3.9115,51.08,3.6321,4
484,FREE,9054,4278,8183,4144,177.53,3.9569,51,3.6313,4
488,LOSE,8382,4251,8123,4192,164.35,3.9234,50.68,3.6286,4
489,SEND,9169,4250,7546,3886,179.78,3.9624,50.67,3.6285,4
491,SHOT,11599,4236,11300,4185,227.43,4.0645,50.5,3.6271,4
496,TILL,8503,4158,7743,3975,166.73,3.9296,49.57,3.619,4
497,LADY,11071,4129,8981,3792,217.08,4.0442,49.23,3.616,4
499,TOWN,12644,4116,12250,4047,247.92,4.1019,49.07,3.6146,4
502,SEEM,7131,4104,7075,4086,139.82,3.8532,48.93,3.6133,4
507,SAVE,8278,4028,6788,3612,162.31,3.918,48.02,3.6052,4
513,NEWS,8399,3976,7681,3838,164.69,3.9243,47.4,3.5996,4
516,BODY,9972,3961,9740,3912,195.53,3.9988,47.22,3.5979,4
519,FIRE,10990,3948,9099,3704,215.49,4.041,47.07,3.5965,4
523,HANG,7535,3879,5013,3048,147.75,3.8771,46.24,3.5888,4
524,LUCK,7840,3874,7609,3815,153.73,3.8944,46.19,3.5883,4
528,SICK,8437,3867,8126,3798,165.43,3.9262,46.1,3.5875,4
535,FAST,7010,3808,6744,3747,137.45,3.8458,45.4,3.5808,4
537,GAME,11926,3774,11451,3698,233.84,4.0765,44.99,3.5769,4
539,SENT,7038,3760,6908,3721,138,3.8475,44.83,3.5753,4
540,SORT,7584,3753,6943,3526,148.71,3.88,44.74,3.5745,4
542,BOYS,11432,3747,10241,3581,224.16,4.0582,44.67,3.5738,4
