,word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
4590,urge,339,307,333,304,6.65,2.5315,3.66,2.4886,4
5031,stud,354,269,321,250,6.94,2.5502,3.21,2.4314,4
5079,leap,340,265,315,251,6.67,2.5328,3.16,2.4249,4
5103,vast,311,264,300,254,6.1,2.4942,3.15,2.4232,4
5111,gown,334,263,324,258,6.55,2.525,3.14,2.4216,4
5130,puke,319,262,307,254,6.25,2.5051,3.12,2.42,4
5198,pose,347,256,329,247,6.8,2.5416,3.05,2.4099,4
5207,boil,303,255,271,234,5.94,2.4829,3.04,2.4082,4
5213,loop,345,255,321,240,6.76,2.5391,3.04,2.4082,4
5224,cups,326,254,309,244,6.39,2.5145,3.03,2.4065,4
5249,hike,333,252,276,228,6.53,2.5237,3,2.4031,4
5254,riot,331,252,297,230,6.49,2.5211,3,2.4031,4
5261,cozy,288,251,252,229,5.65,2.4609,2.99,2.4014,4
5275,vain,332,251,317,241,6.51,2.5224,2.99,2.4014,4
5276,Whew,320,251,16,13,6.27,2.5065,2.99,2.4014,4
5281,myth,352,250,341,246,6.9,2.5478,2.98,2.3997,4
5285,sour,297,250,269,231,5.82,2.4742,2.98,2.3997,4
5286,stir,301,250,274,234,5.9,2.48,2.98,2.3997,4
5306,fare,314,248,289,242,6.16,2.4983,2.96,2.3962,4
5399,pals,300,241,286,232,5.88,2.4786,2.87,2.3838,4
5438,slam,296,239,246,220,5.8,2.4728,2.85,2.3802,4
5453,cuff,291,237,197,164,5.71,2.4654,2.83,2.3766,4
5456,geek,353,237,311,223,6.92,2.549,2.83,2.3766,4
5481,sole,268,236,250,224,5.25,2.4298,2.81,2.3747,4
5484,bunk,320,235,302,222,6.27,2.5065,2.8,2.3729,4
5535,glow,293,232,278,219,5.75,2.4683,2.77,2.3674,4
5545,bake,323,231,267,207,6.33,2.5105,2.75,2.3655,4
5584,poke,298,229,252,207,5.84,2.4757,2.73,2.3617,4
5590,brat,317,228,299,219,6.22,2.5024,2.72,2.3598,4
5591,chap,324,228,311,222,6.35,2.5119,2.72,2.3598,4
5627,bolt,351,226,263,202,6.88,2.5465,2.69,2.356,4
5630,peek,272,226,252,220,5.33,2.4362,2.69,2.356,4
5640,sofa,299,226,287,220,5.86,2.4771,2.69,2.356,4
5648,hips,309,225,295,219,6.06,2.4914,2.68,2.3541,4
5656,scam,313,225,308,224,6.14,2.4969,2.68,2.3541,4
